,Price_gas,Imbalance netting import,Imbalance netting export,Energy_positive_secondary,Energy_negative_secondary,Energy_positive_tertiary,Energy_negative_tertiary,CH_dayahead_price,CH_intraday_price,renewable_energy,Cross_border_physical_flows_IT_CH,Cross_border_physical_flows_CH_IT,Cross_border_physical_flows_FR_CH,Cross_border_physical_flows_CH_FR,Cross_border_physical_flows_AT_CH,Cross_border_physical_flows_CH_AT,Cross_border_physical_flows_DE_CH,Cross_border_physical_flows_CH_DE,Forecast_transfer_capacities_dayahead_IT_CH,Forecast_transfer_capacities_dayahead_CH_IT,Forecast_transfer_capacities_dayahead_FR_CH,Forecast_transfer_capacities_dayahead_CH_FR,Forecast_transfer_capacities_dayahead_DE_CH,Forecast_transfer_capacities_dayahead_CH_DE,Forecast_transfer_capacities_dayahead_AT_CH,Forecast_transfer_capacities_dayahead_CH_AT,aFRR p,aFRR n,mFRR p,mFRR n,FRCE p,FRCE n,RR p,RR n,Total System Imbalance,Exchange_CH_AT,Exchange_AT_CH,Exchange_CH_DE,Exchange_DE_CH,Exchange_CH_FR,Exchange_FR_CH,Exchange_CH_IT,Exchange_IT_CH,day_type,hour,weekday,Price_positive_secondary_lag_1,Price_positive_secondary_lag_24,Price_positive_secondary_lag_168,Price_positive_secondary_mean_24,Price_positive_secondary_std_24,Price_positive_secondary_max_24,Price_positive_secondary_mean_168,Price_positive_secondary_std_168,Price_positive_secondary_max_168,Price_negative_secondary_lag_1,Price_negative_secondary_lag_24,Price_negative_secondary_lag_168,Price_negative_secondary_mean_24,Price_negative_secondary_std_24,Price_negative_secondary_max_24,Price_negative_secondary_mean_168,Price_negative_secondary_std_168,Price_negative_secondary_max_168
2023-03-02 20:00:00,0.0,0.0,-0.40205023,0.0,-0.5304595,0.15078983,0.08970605,-0.07403132,-0.3351416,-0.07271533,0.0,-0.031207448,-0.023510434,0.0,-0.1150528,0.0,-0.023077056,0.0,0.0,0.020479593,0.0,0.0,0.0,0.0,0.0,0.0,-0.07597114,-0.11914392,0.25501254,0.0,-0.29114386,0.0,0.0,0.0,-0.012691982,-0.07745364,-0.017365228,0.023176499,-0.009863447,-0.08928134,-0.090017915,0.0113233,0.0027957687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042336926,0.0,-0.10634829,-0.060564302,0.0,0.041803494,0.060676433,0.06520519,-0.27007428,0.5389461,0.0,-0.13719487,-0.03110365,0.0
2023-03-02 21:00:00,0.0,0.0,-0.37546086,0.0,-0.59714305,-0.1797548,-0.19128191,0.01655642,0.060625978,-0.08598392,0.0,-0.03571852,-0.023510434,0.0,-0.048211217,0.0,-0.023077056,0.0,0.0,0.020479593,0.0,0.0,0.0,0.0,0.0,0.0,-0.05122231,-0.14054973,-0.063938454,0.0,-0.28410432,0.0,0.0,0.0,-0.037807208,-0.07745364,-0.062267166,0.023176499,-0.009863447,-0.043093443,-0.090017915,0.0113233,0.0027957687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042336926,0.0,-0.020076625,-0.060564302,0.0,-0.30742365,-0.033208847,0.036062628,-0.28045088,0.516668,0.0,-0.14333421,-0.03110365,0.0
2023-03-02 22:00:00,0.0,0.0,-0.39571187,0.0,-0.6050804,-0.22942226,-0.19128191,0.01655642,0.060625978,-0.08598392,0.0,0.08698554,-0.023510434,0.0,-0.067797095,0.0,-0.023077056,0.0,0.0,0.020479593,0.0,0.0,0.0,0.0,0.0,0.0,-0.014464655,-0.16156478,-0.063938454,0.0,-0.30640602,0.0,0.0,0.0,-0.037807208,-0.08298406,-0.062267166,-0.011752799,0.005247348,-0.043093443,-0.090017915,0.0113233,0.0027957687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042336926,0.0,-0.020076625,-0.060564302,0.0,-0.35239917,0.032073177,0.03803293,-0.28045088,0.45707363,0.0,-0.14333421,-0.03110365,0.0
2023-03-02 23:00:00,0.0,0.0,-0.3671814,0.0,-0.6050804,-0.1797548,-0.19128191,0.01655642,0.060625978,-0.08598392,0.0,0.13343309,-0.023510434,0.0,0.023212805,0.0,-0.023077056,0.0,0.0,0.020479593,0.0,0.0,0.0,0.0,0.0,0.0,-0.07310116,-0.14054973,-0.063938454,0.0,-0.30640602,0.0,0.0,0.0,-0.037807208,-0.08298406,-0.062267166,-0.011752799,0.005247348,-0.043093443,-0.090017915,0.0113233,0.0027957687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042336926,0.0,-0.020076625,-0.060564302,0.0,-0.36791277,-0.033208847,0.036062628,-0.28045088,0.40576902,0.0,-0.14333421,-0.03110365,0.0
2023-03-03 00:00:00,0.0,0.0,-0.39571187,0.0,-0.57898563,-0.22942226,0.11642329,0.01655642,0.09040551,-0.23998016,0.0,-0.031207448,-0.023510434,0.0,-0.048211217,0.0,-0.023077056,0.0,0.0,0.020479593,0.0,0.0,0.0,0.0,0.0,0.0,-0.093078084,-0.16156478,-0.063938454,0.0,-0.29086912,0.0,0.0,0.0,-0.037807208,-0.08539106,-0.062267166,-0.011752799,0.005247348,-0.08377876,-0.090017915,0.0113233,0.0027957687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042336926,0.0,-0.03011306,-0.060564302,0.0,-0.34284973,0.012552925,0.03803293,-0.25494173,0.60454684,0.0,-0.14118975,-0.03110365,0.0
2023-03-03 01:00:00,0.0,0.0,-0.37469682,0.0,-0.57129145,-0.1797548,0.11642329,0.01655642,0.09040551,-0.23998016,0.0,-0.031207448,-0.023510434,0.0,-0.048211217,0.0,0.013906742,0.0,0.0,0.020479593,0.0,0.0,0.0,0.0,0.0,0.0,-0.093078084,-0.14054973,-0.063938454,0.0,-0.29086912,0.0,0.0,0.0,-0.037807208,-0.08539106,-0.062267166,-0.011752799,0.005247348,-0.08377876,-0.090017915,0.0113233,0.0027957687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08102597,0.0,-0.03011306,-0.060564302,0.0,-0.3174601,-0.033208847,0.036062628,-0.28045088,0.5986753,0.0,-0.14118975,-0.03110365,0.0
2023-03-03 02:00:00,0.0,0.0,-0.39571187,0.0,-0.6033752,-0.18041402,-0.19128191,0.01655642,0.060625978,-0.08598392,0.0,0.08698554,-0.023510434,0.0,-0.067797095,0.0,0.013906742,0.0,0.0,0.020479593,0.0,0.0,0.0,0.0,0.0,0.0,-0.014464655,-0.16156478,-0.063938454,0.0,-0.3333215,0.0,0.0,0.0,-0.037807208,-0.08298406,-0.062267166,-0.011752799,0.005247348,-0.043093443,-0.090017915,0.0113233,0.0027957687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08102597,0.0,-0.020076625,-0.060564302,0.0,-0.32387006,0.029795298,-0.110087395,-0.28045088,0.44940448,0.0,-0.14333421,-0.03110365,0.0
2023-03-03 03:00:00,0.0,0.0,-0.37469682,0.0,-0.6033752,-0.16819054,-0.19128191,0.01655642,0.060625978,-0.08598392,0.0,-0.031207448,-0.023510434,0.0,-0.067797095,0.0,0.013906742,0.0,0.0,0.020479593,0.0,0.0,0.0,0.0,0.0,0.0,-0.014464655,-0.14054973,-0.063938454,0.0,-0.32004195,0.0,0.0,0.0,-0.037807208,-0.08539106,-0.062267166,-0.011752799,0.005247348,-0.043093443,-0.090017915,0.0113233,0.0027957687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08102597,0.0,-0.020076625,-0.060564302,0.0,-0.32057577,-0.027813308,-0.1043843,-0.28045088,0.55108255,0.0,-0.14333421,-0.03110365,0.0
2023-03-03 04:00:00,0.0,0.0,-0.37469682,0.0,-0.55086637,-0.18041402,0.13723695,0.01655642,0.108179495,-0.23998016,0.0,-0.031207448,-0.023510434,0.0,-0.067797095,0.0,-0.023077056,0.0,0.0,0.020479593,0.0,0.0,0.0,0.0,0.0,0.0,0.05260087,-0.14054973,-0.063938454,0.0,-0.3177846,0.0,0.0,0.0,-0.037807208,-0.08539106,-0.062267166,-0.011752799,0.005247348,-0.08377876,-0.090017915,0.0113233,0.0027957687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042336926,0.0,-0.03011306,-0.060564302,0.0,-0.33741271,-0.004194358,-0.110087395,-0.28045088,0.59475756,0.0,-0.14118975,-0.03110365,0.0
2023-03-03 05:00:00,0.0,0.0,-0.32264695,0.0,-0.54829895,-0.16819054,0.13723695,0.01655642,0.108179495,-0.23998016,0.0,-0.031207448,-0.043474294,0.0,-0.067797095,0.0,0.013906742,0.0,0.0,0.020479593,0.0,0.0,0.0,0.0,0.0,0.0,0.05260087,0.21132904,-0.063938454,0.0,-0.3177846,0.0,0.0,0.0,-0.037807208,-0.08539106,-0.046903685,-0.011752799,0.005247348,-0.08377876,-0.090017915,0.0113233,0.0027957687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.080271125,0.0,-0.03011306,-0.01755726,0.0,-0.26275477,-0.14533086,-0.1043843,-0.28045088,0.6379783,0.0,-0.14118975,-0.03110365,0.0
