,Price_gas,Imbalance netting import,Imbalance netting export,Energy_positive_secondary,Energy_negative_secondary,Energy_positive_tertiary,Energy_negative_tertiary,CH_dayahead_price,CH_intraday_price,renewable_energy,Cross_border_physical_flows_IT_CH,Cross_border_physical_flows_CH_IT,Cross_border_physical_flows_FR_CH,Cross_border_physical_flows_CH_FR,Cross_border_physical_flows_AT_CH,Cross_border_physical_flows_CH_AT,Cross_border_physical_flows_DE_CH,Cross_border_physical_flows_CH_DE,Forecast_transfer_capacities_dayahead_IT_CH,Forecast_transfer_capacities_dayahead_CH_IT,Forecast_transfer_capacities_dayahead_FR_CH,Forecast_transfer_capacities_dayahead_CH_FR,Forecast_transfer_capacities_dayahead_DE_CH,Forecast_transfer_capacities_dayahead_CH_DE,Forecast_transfer_capacities_dayahead_AT_CH,Forecast_transfer_capacities_dayahead_CH_AT,aFRR p,aFRR n,mFRR p,mFRR n,FRCE p,FRCE n,RR p,RR n,Total System Imbalance,Exchange_CH_AT,Exchange_AT_CH,Exchange_CH_DE,Exchange_DE_CH,Exchange_CH_FR,Exchange_FR_CH,Exchange_CH_IT,Exchange_IT_CH,day_type,hour,weekday,Price_positive_secondary_lag_1,Price_positive_secondary_lag_24,Price_positive_secondary_lag_168,Price_positive_secondary_mean_24,Price_positive_secondary_std_24,Price_positive_secondary_max_24,Price_positive_secondary_mean_168,Price_positive_secondary_std_168,Price_positive_secondary_max_168
2023-07-02 12:00:00,0.0,-0.081268266,-0.0075184414,-0.75329596,0.0,0.044159494,-0.019135565,0.12654585,0.17071617,0.018011695,0.0,-0.013930161,-0.01200787,0.0,0.05525694,-0.016907496,0.0,-0.05973184,-0.052648365,-0.056368057,0.0074508763,0.0,0.0,-0.023463067,-0.012860137,0.0,-0.024273997,-0.016515464,0.03747214,0.0,0.0,-0.029745353,0.0,0.0054658293,0.11283259,-0.01245853,-1.9278843e-05,-0.09764003,-0.016008567,-0.008676585,0.0009864098,0.0,0.13016745,0.0,0.0063280766,0.0,-0.2507384,-0.041038103,0.11372064,-0.06714389,-0.03720917,-1.4119071,0.06925668,0.29806924,0.0
2023-07-02 13:00:00,0.0,-0.013186002,-0.0075184414,-0.7244543,0.0,0.044159494,-0.018164327,0.100441515,0.17071617,0.018011695,0.0,0.018139541,-0.01200787,0.0,0.05525694,-0.016907496,0.0,-0.06428362,-0.049477234,-0.056368057,0.013672554,0.0,0.0,-0.040361933,-0.010948067,0.0,-0.024273997,-0.016515464,0.03747214,0.0,0.0,-0.035216287,0.0,0.0054658293,-0.066856794,0.0046126815,-1.9278843e-05,-0.101720214,-0.02758234,0.0020134465,0.0009864098,0.0,0.12438765,0.0,-0.014729982,0.0,-0.37124115,-0.0043582134,0.118918784,-0.0810138,-0.035246357,-1.4811169,0.0702436,0.30329642,0.0
2023-07-02 14:00:00,0.0,-0.085531086,-0.0075184414,-0.70542306,0.0,-0.040548135,-0.018260002,0.089878745,0.17071617,0.018011695,0.0,0.018139541,-0.01200787,0.0,0.05525694,-0.016907496,0.0,-0.060054466,-0.04939336,-0.06107635,0.006805146,0.0,0.0,-0.040361933,-0.015457575,0.0,-0.031226445,-0.016515464,-0.052755132,0.0,0.0,-0.06729963,0.0,0.0054658293,-0.056438655,-0.010521339,-1.9278843e-05,-0.06721351,-0.014727659,-0.012756774,0.001494695,0.0,0.07374782,0.0,-0.023056163,0.0,-0.26018828,-0.0043582134,0.08459732,-0.07870364,-0.044405572,-1.4151721,0.11712419,0.32857978,0.0
2023-07-02 15:00:00,0.0,-0.013186002,-0.0075184414,-0.7214911,0.0,0.044159494,-0.019135565,0.12140895,0.17071617,0.018011695,0.0,0.00392473,-0.01200787,0.0,0.05525694,-0.016907496,0.0,-0.060054466,-0.027603734,-0.056368057,0.013672554,0.0,0.0,-0.023463067,-0.015705276,0.0,-0.031226445,-0.016515464,0.15170005,0.0,0.0,-0.029745353,0.0,0.0054658293,0.11283259,-0.013023049,-1.9278843e-05,-0.09764003,-0.0031538864,0.0015923246,0.0009864098,0.0,0.08507096,0.0,-0.01577338,0.0,-0.30636513,-0.041038103,0.118918784,-0.063874334,-0.0125690885,-1.4056709,0.07840507,0.30329642,0.0
2023-07-02 16:00:00,0.0,-0.0055771973,-0.0075184414,-0.71726656,0.0,0.002226377,-0.019135565,0.10228539,0.17071617,0.018011695,0.0,-0.013930161,-0.01200787,0.0,0.05525694,-0.016907496,0.0,-0.050216444,-0.031958345,-0.053964023,0.013672554,0.0,0.0,-0.040361933,-0.011109074,0.0,-0.031226445,0.167322,0.15170005,0.0,0.0,-0.0008313246,0.0,0.0054658293,-0.06553932,-0.013023049,-1.9278843e-05,-0.09764003,-0.014727659,-0.008676585,0.0009864098,0.0,0.15721264,0.0,-0.006584849,0.0,-0.37320507,-0.013565861,0.12826803,-0.09942964,-0.014531903,-1.3510872,0.05407102,0.31049067,0.0
2023-07-02 17:00:00,0.0,-0.013186002,-0.0075184414,-0.5898124,0.0,-0.013118832,-0.020952519,0.096859515,0.17071617,0.018011695,0.0,-0.014870385,-0.01200787,0.0,0.06292429,-0.016907496,0.0,-0.060054466,-0.050576836,-0.0049761776,0.013672554,0.0,0.0,-0.040361933,-0.008873991,0.0,-0.031226445,-0.016515464,-0.056682877,0.0,0.0,0.047068704,0.0,0.0054658293,-0.07296076,-0.013023049,0.0040034703,-0.051651683,-0.014727659,-0.008676585,0.001494695,0.0,0.12783395,0.0,-0.006584849,0.0,-0.383387,-0.013565861,0.1373233,-0.09711949,-0.044405572,-1.4458885,0.13832662,0.41831374,0.0
2023-07-02 18:00:00,0.0,-0.0055771973,-0.0075184414,-0.108972415,0.0,-0.013118832,-0.020952519,0.09697141,0.17071617,0.018011695,0.0,-0.014870385,-0.01200787,0.0,0.27055806,-0.016907496,0.0,-0.04783333,-0.04939336,-0.0025721416,0.013672554,0.0,0.0,-0.040361933,-0.011880137,0.0,-0.031226445,0.167322,-0.05524785,0.0,0.0,0.047068704,0.0,0.007987507,-0.07296076,-0.0044927984,0.0040034703,-0.050961778,-0.014727659,0.0055086096,0.001494695,0.0,-0.095663354,0.0,-0.006584849,0.0,-0.3394637,-0.0043582134,0.12914655,-0.09557334,-0.044405572,-1.0845339,0.12324572,0.816068,0.0
2023-07-02 19:00:00,0.0,-0.0055771973,-0.0075184414,-0.053741388,0.0,-0.0067511797,-0.03828168,0.035518747,0.173147,0.018011695,0.0,-0.014870385,-0.01200787,0.0,0.27055806,-0.016907496,0.0,-0.049900085,-0.04939336,-0.0025721416,0.013672554,0.0,0.0,-0.040361933,-0.0071229283,0.0,-0.031226445,0.167322,-0.06179789,0.0,0.0,-0.0062153377,0.0,0.008427323,-0.074827865,0.001318569,0.0040034703,-0.078492716,-0.014727659,-0.010988394,0.001494695,0.0,0.10018398,0.0,-0.0029712317,0.0,-0.35503247,-0.0043582134,-0.01757516,-0.09711949,-0.042493902,-1.2607414,0.12324572,0.8090288,0.0
2023-07-02 20:00:00,0.0,-0.013186002,-0.0075184414,-0.7540897,0.0,-0.014255817,-0.03959994,0.02824118,0.08473367,-0.003349977,0.0,-0.014870385,-0.010342059,0.0,0.05566941,-0.016907496,0.0,-0.059738107,-0.050576836,-0.012294365,0.013672554,0.0,0.0,-0.040361933,-0.008873991,0.0,-0.031226445,-0.016515464,-0.06179789,0.0,0.0,-0.039153606,0.0,0.0054658293,-0.07306847,0.001318569,-0.046488762,-0.07933036,-0.014727659,0.0050402074,0.001494695,0.0,0.113461,0.0,0.056212075,0.0,-0.35503247,-0.013139071,-0.041355174,-0.09711949,-0.042493902,-1.17866,0.12842137,0.28771007,0.0
2023-07-02 21:00:00,0.0,-0.013186002,-0.0075184414,-0.63227963,0.0,-0.014255817,-0.03959994,0.0333162,0.08473367,-0.003349977,0.0,-0.014870385,-0.010342059,0.0,-0.007364109,-0.016907496,0.0,-0.059738107,-0.050576836,-0.0054303817,0.013672554,0.0,0.0,-0.040361933,-0.008873991,0.0,-0.031226445,-0.016515464,-0.0745129,0.0,0.0,-0.039153606,0.0,0.0054658293,-0.07306847,0.001318569,0.0056306142,-0.046834476,-0.014727659,0.0050402074,0.0025583394,0.0,0.11662996,0.0,0.056212075,0.0,-0.33191478,-0.013139071,-0.063862994,-0.09711949,-0.042493902,-1.3115003,0.14942628,0.25208727,0.0
