,Price_gas,Imbalance netting import,Imbalance netting export,Energy_positive_secondary,Energy_negative_secondary,Energy_positive_tertiary,Energy_negative_tertiary,CH_dayahead_price,CH_intraday_price,renewable_energy,Cross_border_physical_flows_IT_CH,Cross_border_physical_flows_CH_IT,Cross_border_physical_flows_FR_CH,Cross_border_physical_flows_CH_FR,Cross_border_physical_flows_AT_CH,Cross_border_physical_flows_CH_AT,Cross_border_physical_flows_DE_CH,Cross_border_physical_flows_CH_DE,Forecast_transfer_capacities_dayahead_IT_CH,Forecast_transfer_capacities_dayahead_CH_IT,Forecast_transfer_capacities_dayahead_FR_CH,Forecast_transfer_capacities_dayahead_CH_FR,Forecast_transfer_capacities_dayahead_DE_CH,Forecast_transfer_capacities_dayahead_CH_DE,Forecast_transfer_capacities_dayahead_AT_CH,Forecast_transfer_capacities_dayahead_CH_AT,aFRR p,aFRR n,mFRR p,mFRR n,FRCE p,FRCE n,RR p,RR n,Total System Imbalance,Exchange_CH_AT,Exchange_AT_CH,Exchange_CH_DE,Exchange_DE_CH,Exchange_CH_FR,Exchange_FR_CH,Exchange_CH_IT,Exchange_IT_CH,day_type,hour,weekday,Price_positive_secondary_lag_1,Price_positive_secondary_lag_24,Price_positive_secondary_lag_168,Price_positive_secondary_mean_24,Price_positive_secondary_std_24,Price_positive_secondary_max_24,Price_positive_secondary_mean_168,Price_positive_secondary_std_168,Price_positive_secondary_max_168,Price_negative_secondary_lag_1,Price_negative_secondary_lag_24,Price_negative_secondary_lag_168,Price_negative_secondary_mean_24,Price_negative_secondary_std_24,Price_negative_secondary_max_24,Price_negative_secondary_mean_168,Price_negative_secondary_std_168,Price_negative_secondary_max_168,Price_positive_tertiary_lag_1,Price_positive_tertiary_lag_24,Price_positive_tertiary_lag_168,Price_positive_tertiary_mean_24,Price_positive_tertiary_std_24,Price_positive_tertiary_max_24,Price_positive_tertiary_mean_168,Price_positive_tertiary_std_168,Price_positive_tertiary_max_168
2023-09-01 08:00:00,-0.31382036,0.0,0.014181061,0.0,-0.013974048,0.20891592,0.0,-0.018440746,0.0,0.0,0.0,-0.017084334,0.0,0.00964338,0.070988655,0.0,0.0,-0.020947473,0.0,0.0062369043,0.0047597173,0.0,0.008371875,0.0,-0.03232114,0.0,0.006213096,0.0,0.01035984,0.0,0.0,0.0,0.0,0.0,-0.007967452,0.0,-0.018872783,0.01210176,0.0,-0.032055017,-0.012543026,0.010018054,0.0,0.0,-0.0074987025,-0.013107775,-0.0780455,0.0077442173,-0.008220368,0.017478473,-0.032463007,0.0,0.028504116,0.01829932,0.0,-0.018269159,-0.00888486,0.027001426,-0.017096372,0.00450197,0.0,-0.04152389,-0.033559315,0.0,-0.07421266,-0.036729604,-0.008144334,0.0,-0.42671898,-0.09243896,-0.032891303,0.0,-0.08082181
2023-09-01 09:00:00,-0.2311002,0.0,0.12402577,0.0,0.00026157126,0.79774356,0.0,0.02099537,0.0,0.0,0.0,-0.03809255,0.0,-0.008154051,-0.023707518,0.0,0.0,-0.020947473,0.0,0.0062369043,0.00271217,0.0,0.008371875,0.0,-0.021247126,0.0,0.009590775,0.0,0.0061263535,0.0,0.0,0.0,0.0,0.0,-0.007967452,0.0,-0.018872783,0.008313919,0.0,-0.011466066,-0.012543026,0.004565018,0.0,0.0,-0.0037801838,-0.0065634656,-0.0851954,0.0045490577,0.008817397,0.023315642,-0.060095012,0.0,0.028504116,0.024465732,0.0,-0.032887068,-0.0005152363,-0.017855786,-0.017096372,0.0030251122,0.0,-0.021093285,-0.020139372,0.0,-0.040429477,-0.018374674,-0.008144334,0.0,-0.42354032,-0.11734533,-0.024706239,0.0,-0.08000907
2023-09-01 10:00:00,-0.0759006,0.0,0.015383239,0.0,-0.027635286,-0.65562934,0.0,-0.012555658,0.0,0.0,0.0,-0.014746571,0.0,-0.012462297,-0.04131911,0.0,0.0,-0.0056833513,0.0,0.0018987778,0.00271217,0.0,0.002579334,0.0,-0.021247126,0.0,-0.0032790962,0.0,0.0040789843,0.0,0.0,0.0,0.0,0.0,-0.005621502,0.0,-0.0072483383,0.0055513093,0.0,-0.011466068,-0.0042712404,-0.0015623395,0.0,0.0,-0.0044797533,-0.0065634665,-0.012250269,0.0030151508,-0.004239949,0.010491356,-0.020279,0.0,0.014854427,0.008555941,0.0,-0.014642985,-0.00039048027,-0.017855786,-0.0020709895,0.0021322998,0.0,-0.008574822,-0.012302518,0.0,-0.034264762,-0.017655132,-0.0036077395,0.0,-0.12608033,-0.03907529,-0.032111503,0.0,-0.045985475
2023-09-01 11:00:00,-0.0742472,0.0,0.015383239,0.0,-0.027635286,-0.6606696,0.0,-0.012555658,0.0,0.0,0.0,-0.014746571,0.0,-0.012462297,-0.043888412,0.0,0.0,-0.0051271273,0.0,0.0018987778,0.00271217,0.0,0.002579334,0.0,-0.021247126,0.0,-0.0032790962,0.0,0.0040789843,0.0,0.0,0.0,0.0,0.0,-0.005621502,0.0,-0.0072483383,0.0055513093,0.0,-0.011466068,-0.0042712404,-0.0015623395,0.0,0.0,-0.0044797533,-0.0065634665,-0.018269695,0.0030151508,0.0045478884,0.010491356,-0.020279,0.0,0.014854427,0.008555941,0.0,-0.014642985,-0.0055638943,-0.017855786,-0.0020709895,0.0021322998,0.0,-0.008574822,-0.012302518,0.0,-0.029088875,-0.017655132,-0.0036077395,0.0,-0.12638856,-0.036242977,-0.032111503,0.0,-0.045880467
2023-09-01 12:00:00,-0.08543712,0.0,-0.017294966,0.0,-0.009066787,-0.63092667,0.0,-0.012555658,0.0,0.0,0.0,-0.014746571,0.0,-0.012462297,-0.038195025,0.0,0.0,-0.0051271273,0.0,-0.010601802,0.00271217,0.0,0.001978989,0.0,-0.021247126,0.0,-0.018156096,0.0,0.0057708374,0.0,0.0,0.0,0.0,0.0,-0.005621502,0.0,-0.0072483383,0.0063820095,0.0,-0.011466068,-0.0042712404,-0.0015623395,0.0,0.0,-0.0044797533,-0.008187285,-0.012250269,0.0042827,-0.004239949,0.010491356,-0.020279,0.0,0.014854427,0.005837068,0.0,-0.014642985,-0.00039048027,-0.017855786,-0.0020709895,0.0021322998,0.0,-0.008574822,-0.012302518,0.0,-0.029088875,-0.017655132,-0.0036077395,0.0,-0.11101223,-0.03907529,-0.028561657,0.0,-0.045985475
2023-09-01 13:00:00,-0.08950801,0.0,0.015383239,0.0,-0.0017986353,-0.67096686,0.0,-0.012555658,0.0,0.0,0.0,-0.014746571,0.0,-0.012462297,-0.039372288,0.0,0.0,-0.0051271273,0.0,-0.010601802,0.00271217,0.0,0.001978989,0.0,-0.021247126,0.0,-0.0032790962,0.0,0.0057708374,0.0,0.0,0.0,0.0,0.0,-0.005621502,0.0,-0.0072483383,0.0063820095,0.0,-0.011466068,-0.0042712404,-0.0015623395,0.0,0.0,-0.0044797533,-0.0065634665,-0.018269695,0.0042827,0.0045478884,0.010491356,-0.020279,0.0,0.014854427,0.008555941,0.0,-0.014642985,-0.0055638943,-0.017855786,-0.0020709895,0.0021322998,0.0,-0.008574822,-0.012302518,0.0,-0.029088875,-0.017655132,-0.0036077395,0.0,-0.12187244,-0.036242977,-0.032111503,0.0,-0.045880467
2023-09-01 14:00:00,-0.111647636,0.0,0.011591971,0.0,-0.006968637,-0.70406204,0.0,-0.012555658,0.0,0.0,0.0,-0.014746571,0.0,-0.008013805,0.036333837,0.0,0.0,-0.0068962197,0.0,-0.017489327,0.00271217,0.0,0.0028945734,0.0,-0.03232114,0.0,0.0040223626,0.0,0.0057708374,0.0,0.0,0.0,0.0,0.0,-0.005621502,0.0,-0.0072483383,0.0063820095,0.0,-0.011466068,-0.0042712404,-0.0015623395,0.0,0.0,-0.0044797533,-0.008187285,-0.016982323,0.0042827,0.0045478884,0.010491356,-0.020279,0.0,0.014854427,0.013227199,0.0,-0.014642985,-0.00039048027,0.027001426,-0.004978886,0.0021322998,0.0,-0.008574822,-0.012302518,0.0,-0.061421912,-0.017655132,-0.0036077395,0.0,-0.15665348,-0.03850403,-0.01863885,0.0,-0.045880467
2023-09-01 15:00:00,-0.09370321,0.0,0.015383239,0.0,-0.007274512,-0.6791592,0.0,-0.012555658,0.0,0.0,0.0,-0.0013766596,0.0,-0.012462297,-0.043888412,0.0,0.0,-0.0051271273,0.0,0.0018987778,0.00271217,0.0,0.002579334,0.0,-0.03232114,0.0,-0.0032790962,0.0,0.0057708374,0.0,0.0,0.0,0.0,0.0,-0.005621502,0.0,-0.0072483383,0.007195104,0.0,-0.011466068,-0.0042712404,-0.0015623395,0.0,0.0,-0.0044797533,-0.008187285,-0.016982323,0.0042827,0.0045478884,0.010491356,-0.020279,0.0,0.014854427,0.008555941,0.0,-0.014642985,-0.00039048027,0.027001426,-0.0020709895,0.0028443572,0.0,-0.008574822,-0.017267542,0.0,-0.06287207,-0.017655132,-0.0036077395,0.0,-0.12864962,-0.03850403,-0.028561657,0.0,-0.045880467
2023-09-01 16:00:00,-0.11560845,0.0,0.011591971,0.0,-0.011239344,-0.7556486,0.0,-0.011373894,0.0,0.0,0.0,-0.0013766596,0.0,-0.008013805,0.0399388,0.0,0.0,-0.0068962197,0.0,0.0031323319,0.0019028407,0.0,0.004234996,0.0,-0.03232114,0.0,0.0040223626,0.0,0.0057708374,0.0,0.0,0.0,0.0,0.0,-0.005621502,0.0,-0.0072483383,0.007195104,0.0,-0.006654253,-0.0042712404,0.004701261,0.0,0.0,-0.0038826743,-0.027645517,-0.016982323,0.0042827,0.0045478884,0.010491356,-0.020279,0.0,0.014854427,0.013227199,0.0,-0.014642985,-0.00039048027,0.027001426,-0.004978886,0.0028443572,0.0,-0.008574822,-0.017267542,0.0,-0.061421912,-0.012932402,-0.0036077395,0.0,-0.16993912,-0.053056262,0.03612682,0.0,-0.045796677
2023-09-01 17:00:00,-0.30062884,0.0,0.013210459,0.0,-0.033826172,0.22431597,0.0,-0.021838032,0.0,0.0,0.0,-0.017084334,0.0,-0.011497131,0.07691347,0.0,0.0,-0.016732424,0.0,0.0062369043,0.002803208,0.0,0.008371875,0.0,-0.021247126,0.0,0.006213096,0.0,0.01035984,0.0,0.0,0.0,0.0,0.0,-0.007967452,0.0,-0.018872783,0.01210176,0.0,-0.012007322,-0.012543026,-0.0033292347,0.0,0.0,-0.009282637,-0.07738614,-0.0851954,0.0077442173,0.008817397,0.017478473,-0.032463007,0.0,0.028504116,0.01829932,0.0,-0.032887068,-0.0005152363,-0.017855786,-0.017096372,0.00450197,0.0,-0.021093285,-0.033559315,0.0,-0.017784093,-0.018905912,-0.008144334,0.0,-0.4798342,-0.100679584,0.061842278,0.0,-0.080784045
