,Price_gas,Imbalance netting import,Imbalance netting export,Energy_positive_secondary,Energy_negative_secondary,Energy_positive_tertiary,Energy_negative_tertiary,CH_dayahead_price,CH_intraday_price,renewable_energy,Cross_border_physical_flows_IT_CH,Cross_border_physical_flows_CH_IT,Cross_border_physical_flows_FR_CH,Cross_border_physical_flows_CH_FR,Cross_border_physical_flows_AT_CH,Cross_border_physical_flows_CH_AT,Cross_border_physical_flows_DE_CH,Cross_border_physical_flows_CH_DE,Forecast_transfer_capacities_dayahead_IT_CH,Forecast_transfer_capacities_dayahead_CH_IT,Forecast_transfer_capacities_dayahead_FR_CH,Forecast_transfer_capacities_dayahead_CH_FR,Forecast_transfer_capacities_dayahead_DE_CH,Forecast_transfer_capacities_dayahead_CH_DE,Forecast_transfer_capacities_dayahead_AT_CH,Forecast_transfer_capacities_dayahead_CH_AT,aFRR p,aFRR n,mFRR p,mFRR n,FRCE p,FRCE n,RR p,RR n,Total System Imbalance,Exchange_CH_AT,Exchange_AT_CH,Exchange_CH_DE,Exchange_DE_CH,Exchange_CH_FR,Exchange_FR_CH,Exchange_CH_IT,Exchange_IT_CH,day_type,hour,weekday,Price_positive_secondary_lag_1,Price_positive_secondary_lag_24,Price_positive_secondary_lag_168,Price_positive_secondary_mean_24,Price_positive_secondary_std_24,Price_positive_secondary_max_24,Price_positive_secondary_mean_168,Price_positive_secondary_std_168,Price_positive_secondary_max_168
2023-07-02 12:00:00,-0.18632883,-0.0498121,-0.08012216,-1.701912,-0.016456854,0.07472997,-0.008678873,0.12476264,0.12047881,0.31028035,0.0,-0.1918904,-0.25222388,0.00450372,0.0825449,0.0,0.21366225,0.009032115,0.0,-0.047529623,-0.0066172136,0.0,0.0,0.0,-0.005242903,0.0,-0.06818572,0.049497917,0.060324144,0.0,0.0005622241,-0.10732262,0.0,0.0043744342,-0.094129235,0.0011983849,0.06932518,-0.25029922,-0.111720555,-0.10550316,-0.11962964,-0.06297028,-0.09395581,0.0,0.07661867,-0.026241053,-0.15452811,-0.06058104,0.12393165,-0.11620401,-0.26549602,-2.1887965,0.17482111,-0.62332064,-0.13488644
2023-07-02 13:00:00,-0.17545065,0.005461432,0.019091802,-1.5754495,-0.00939167,0.13413563,-0.0056073363,0.118713334,0.11996622,0.31410804,0.0,0.097179174,-0.230544,0.00450372,-0.014826413,0.0,0.108739585,0.009032115,0.0,-0.043745264,-0.0066172136,0.0,0.0,0.0,-0.024255984,0.0,-0.10683487,0.04020284,0.08433661,0.0,0.0005622241,-0.14252476,0.0,0.0043744342,-0.0155130075,0.0536696,0.08736532,-0.35656258,-0.11669989,-0.09346086,-0.17028303,-0.027148888,-0.09500426,0.0,-0.045663286,-0.025499564,-0.227858,-0.04033697,0.17641409,-0.1356385,-0.15657528,-2.0508912,0.17482111,-0.48862448,-0.15735587
2023-07-02 14:00:00,-0.18221267,0.0033735,-0.09403163,-1.5313772,-0.006594488,-0.24304253,-0.008678873,0.1174234,0.116464645,0.3051624,0.0,0.066724524,-0.23248394,0.00450372,0.09472858,0.0,0.0040040165,0.009032115,0.0,-0.06723826,-0.0066172136,0.0,0.0,0.0,-0.0013113194,0.0,-0.14928131,0.04221348,-0.115460336,0.0,0.001327673,-0.12588191,0.0,0.0053328583,-0.04604079,-0.10465164,0.1419024,-0.35327816,-0.080532104,-0.0919677,-0.15436149,-0.041598298,-0.0065825693,0.0,-0.071200974,-0.0512966,-0.17808422,-0.021063574,0.17375253,-0.11908263,-0.2535529,-2.160053,0.12743753,-0.4704259,-0.09057089
2023-07-02 15:00:00,-0.1733793,0.00013998337,-0.09865569,-1.7934078,-0.014041766,0.08150777,-0.0056073363,0.10863036,0.1208407,0.30507016,0.0,0.12267763,-0.21985197,0.00450372,0.07480052,0.0,0.108376816,0.009032115,0.0,-0.069841586,-0.0066172136,0.0,0.0,0.0,-0.0046848515,0.0,-0.17264308,-0.1519376,0.080183595,0.0,0.001327673,-0.07852028,0.0,0.0053328583,0.05470097,-0.104470864,0.088291384,-0.44718412,-0.0631637,-0.097764224,-0.1731858,-0.04040623,-0.004323911,0.0,-0.051384978,-0.018390574,-0.13379681,-0.06058104,0.1788444,-0.12777641,-0.22727501,-2.0200365,0.13683715,-0.48454136,-0.1326592
2023-07-02 16:00:00,-0.17886968,0.005461432,-0.10839836,-1.7727373,-0.014041766,0.07686358,-0.0050740396,0.09819098,0.12054717,0.29785886,0.0,0.106137775,-0.22626454,0.00450372,0.054373726,0.0,0.11101152,0.009032115,0.0,-0.069841586,-0.0066172136,0.0,0.0,0.0,-0.023697931,0.0,-0.15470417,-0.14151037,0.080183595,0.0,0.001327673,0.15242054,0.0,0.0043744342,-0.02159464,-0.11679345,0.06757981,-0.30627838,-0.08334788,-0.07998173,-0.1866306,-0.037827853,-0.06814924,0.0,-0.106394574,-0.018390574,-0.16717824,-0.06058104,0.17693886,-0.15040538,-0.15868486,-1.9892876,0.17780046,-0.46149853,-0.13577428
2023-07-02 17:00:00,-0.20341879,-0.0024051964,0.24152178,-1.8840308,-0.0024616525,-0.2328274,-0.0050740396,0.06776215,0.116464645,0.27693295,0.0,-0.19381112,-0.21681264,0.00450372,0.0051920568,0.0,0.18889326,0.008538596,0.0,-0.023173045,-0.0066172136,0.0,0.0,0.0,-0.0065179737,0.0,-0.15158151,-0.15323201,-0.082778655,0.0,0.0005622241,0.089994356,0.0,0.0043744342,0.0018721484,-0.081612624,0.052229762,-0.19218415,-0.06150718,0.009823471,-0.07331016,-0.01995048,-0.09175484,0.0,-0.10500392,-0.043038826,-0.26354632,-0.041307643,-0.11214229,-0.18161923,-0.2412577,-2.213698,0.15365876,-0.27015737,-0.1316103
2023-07-02 18:00:00,-0.33951265,0.0061468054,0.4516033,-0.9127772,0.00497948,-0.24551246,-0.004590842,0.030148435,0.10691947,0.1465214,0.0,0.059052885,0.14589113,0.0024205926,0.014914958,0.0,0.15908301,0.009114981,0.0,-0.021400213,-0.0066172136,0.0,0.0,0.0,-0.0056894924,0.0,-0.17243296,-0.050722733,-0.035223845,0.0,0.0005622241,0.2593361,0.0,0.007095691,-0.042267658,-0.09083479,0.028981632,-0.11198117,-0.07743122,0.042615194,-0.04582965,-0.04188116,-0.10251888,0.0,-0.14294864,-0.03816569,-0.62038106,-0.041307643,-0.115381286,-0.29040182,-0.17527243,-2.2404864,0.17614949,-0.2560711,-0.20412576
2023-07-02 19:00:00,-0.18311396,0.011367571,-0.08277517,-1.7406979,-0.0024616525,-0.29312673,0.023332112,-0.07323122,0.11870172,-0.020819966,0.0,-0.1847744,-0.20565915,0.0024205926,0.18144529,0.0,0.1402818,0.009969076,0.0,-0.023173045,-0.0066172136,0.0,0.0,0.0,-0.0059599224,0.0,-0.11542001,-0.1359374,-0.081667915,0.0,0.0005622241,0.038161915,0.0,0.0043744342,-0.03162708,0.04786828,0.049092233,-0.17940189,-0.08067636,0.058323476,-0.070577025,0.15676528,-0.09906209,0.0,-0.13428566,-0.042953663,-0.5556506,-0.041307643,-0.103645064,-0.21444097,-0.23832381,-1.81116,0.16400443,-0.31066748,-0.21798088
2023-07-02 20:00:00,-0.20975511,0.011367571,0.14821671,-1.8327377,-0.020308658,-0.31467333,0.025217522,-0.0042185355,0.11367027,-0.026708199,0.0,-0.17569578,-0.20293999,0.00450372,0.13726379,0.0,-0.033871934,0.008993972,0.0,-0.02427245,-0.0066172136,0.0,0.0,0.0,-0.0059599224,0.0,-0.12687011,-0.09244835,-0.082778655,0.0,0.0005622241,-0.18446817,0.0,0.0043744342,0.0029804036,0.021364927,-0.24174389,-0.14787298,-0.077793725,0.051217858,-0.08263823,-0.05014859,-0.089641064,0.0,-0.092941865,-0.042953663,-0.38846406,-0.041307643,-0.09197796,-0.23050246,-0.22356935,-1.900973,0.1653533,-0.31854808,-0.141992
2023-07-02 21:00:00,-0.19659431,-0.0024051964,-0.079382196,-1.696484,-0.021073919,-0.3219502,-0.0056073363,-0.057640728,-0.027610358,-0.03511118,0.0,0.0453446,-0.22005248,0.00450372,-0.10277016,0.0,-0.19145939,-0.009677364,0.0,-0.014442556,-0.0066172136,0.0,0.0,0.0,-0.0059599224,0.0,-0.14597723,-0.15113823,-0.085814044,0.0,-0.008100047,-0.11207557,0.0,0.0043744342,-0.024783522,0.051501863,0.044188634,-0.3273636,-0.084932216,0.044959854,-0.07672298,0.110857844,-0.0860994,0.0,-0.0835915,-0.042953663,-0.6368502,-0.041307643,-0.110827275,-0.18548955,-0.111395255,-1.575022,0.17979251,-0.3235523,-0.13811314
