,Price_gas,Imbalance netting import,Imbalance netting export,Energy_positive_secondary,Energy_negative_secondary,Energy_positive_tertiary,Energy_negative_tertiary,CH_dayahead_price,CH_intraday_price,renewable_energy,Cross_border_physical_flows_IT_CH,Cross_border_physical_flows_CH_IT,Cross_border_physical_flows_FR_CH,Cross_border_physical_flows_CH_FR,Cross_border_physical_flows_AT_CH,Cross_border_physical_flows_CH_AT,Cross_border_physical_flows_DE_CH,Cross_border_physical_flows_CH_DE,Forecast_transfer_capacities_dayahead_IT_CH,Forecast_transfer_capacities_dayahead_CH_IT,Forecast_transfer_capacities_dayahead_FR_CH,Forecast_transfer_capacities_dayahead_CH_FR,Forecast_transfer_capacities_dayahead_DE_CH,Forecast_transfer_capacities_dayahead_CH_DE,Forecast_transfer_capacities_dayahead_AT_CH,Forecast_transfer_capacities_dayahead_CH_AT,aFRR p,aFRR n,mFRR p,mFRR n,FRCE p,FRCE n,RR p,RR n,Total System Imbalance,Exchange_CH_AT,Exchange_AT_CH,Exchange_CH_DE,Exchange_DE_CH,Exchange_CH_FR,Exchange_FR_CH,Exchange_CH_IT,Exchange_IT_CH,day_type,hour,weekday,Price_positive_secondary_lag_1,Price_positive_secondary_lag_24,Price_positive_secondary_lag_168,Price_positive_secondary_mean_24,Price_positive_secondary_std_24,Price_positive_secondary_max_24,Price_positive_secondary_mean_168,Price_positive_secondary_std_168,Price_positive_secondary_max_168,Price_negative_secondary_lag_1,Price_negative_secondary_lag_24,Price_negative_secondary_lag_168,Price_negative_secondary_mean_24,Price_negative_secondary_std_24,Price_negative_secondary_max_24,Price_negative_secondary_mean_168,Price_negative_secondary_std_168,Price_negative_secondary_max_168
2023-03-02 20:00:00,-0.08825603,0.041330475,-0.06945486,0.09384743,-1.0785441,0.007793164,0.14184266,-0.10816267,-0.072308645,-0.077410266,0.0,-0.022127708,-0.01596968,0.012586594,-0.25594723,0.0,-0.019740388,0.0,0.0,0.017566042,0.0,0.0,0.0,0.0,0.0,0.0,-0.02366994,-0.16193692,0.17825682,0.0,-0.15535021,0.0028449416,0.0,0.0,-0.16512752,-0.11708679,0.028333034,-0.092561886,-0.04806199,-0.024295397,0.0,-0.047843467,-0.110098295,0.0,0.054186568,-0.14723825,0.28501058,-0.020745544,-0.006142315,-0.027663441,-0.020579595,0.011787987,-0.108948454,-0.079715505,0.0,0.2810809,-0.03930099,0.0020082667,-0.13511573,0.6498206,-0.6055593,-0.013858163,-0.068724975,0.0
2023-03-02 21:00:00,-0.033021897,-0.038548335,-0.10974319,0.03335982,-0.9061992,-0.02536529,-0.17630751,-0.06962092,0.010756638,-0.31085423,0.0,-0.040727984,-0.027937636,0.012586594,-0.25521708,0.0,-0.019740388,0.0,0.0,0.012924382,0.0,0.0,0.0,0.0,0.0,0.0,-0.02366994,-0.19800366,-0.15831624,0.0,-0.17424965,0.001808812,0.0,0.0,-0.094821766,-0.042888083,-0.005904584,-0.026684975,-0.041070506,-0.019219752,0.0,-0.0617363,-0.100013465,0.0,0.01924789,-0.13994543,-0.25409552,-0.014409424,-0.006142315,-0.02206073,-0.020579595,0.0056917984,-0.04631005,-0.09919134,0.0,-0.35828254,-0.110234536,-0.07769671,-0.17473981,0.28961203,-0.6266408,-0.029758366,-0.058310177,0.0
2023-03-02 22:00:00,-0.033021897,0.008072652,-0.1428007,0.031871967,-0.9643081,-0.02536529,-0.2168064,-0.06962092,-0.033409216,-0.35602677,0.0,-0.03423336,-0.027937636,0.012586594,-0.29102337,0.0,-0.029864434,0.0,0.0,0.013796823,0.0,0.0,0.0,0.0,0.0,0.0,-0.0073643103,-0.21730448,-0.15831624,0.0,-0.18320157,0.001808812,0.0,0.0,-0.048249796,-0.042888083,-0.017813247,-0.005083231,0.010069093,-0.005410208,0.0,-0.0617363,-0.100013465,0.0,0.01924789,-0.14723825,-0.25623992,-0.014409424,0.014522263,-0.029353559,-0.020579595,0.009088474,-0.04631005,-0.10539836,0.0,-0.3289417,-0.1319278,-0.005610739,-0.15143818,0.29614678,-0.6339567,-0.02796986,-0.058310177,0.0
2023-03-02 23:00:00,-0.033021897,-0.04308522,-0.12093808,0.032201678,-0.96920323,-0.02536529,-0.1767043,-0.06962092,-0.013473161,-0.31113362,0.0,-0.03423336,-0.027937636,0.012586594,-0.12193336,0.0,-0.019740388,0.0,0.0,0.015258043,0.0,0.0,0.0,0.0,0.0,0.0,-0.025500327,-0.20259084,-0.15831624,0.0,-0.23905927,0.001808812,0.0,0.0,-0.09113377,-0.042888083,-0.017813247,-0.005083231,0.0140712205,-0.005410208,0.0,-0.038446836,0.03242904,0.0,0.02256833,-0.14723825,-0.25409552,-0.014409424,-0.006142315,-0.029353559,-0.019160338,0.009088474,-0.04631005,-0.10539836,0.0,-0.28028646,-0.09922729,-0.005610739,-0.15650101,0.34041736,-0.6842544,-0.0666564,-0.06752028,0.0
2023-03-03 00:00:00,-0.064833865,-0.06940681,-0.107370585,0.036021665,-0.9197557,-0.02536529,0.05436389,-0.06679251,-0.020084403,-0.41869456,0.0,-0.03423336,-0.027937636,0.012586594,-0.1632858,0.0,-0.015256281,0.0,0.0,0.013796823,0.0,0.0,0.0,0.0,0.0,0.0,-0.0056702807,-0.17645308,-0.13037588,0.0,-0.22732097,0.001808812,0.0,0.0,-0.10595119,-0.062924735,0.0215681,0.0062177223,0.0140712205,-0.005410208,0.0,-0.038446836,0.03242904,0.0,-0.04059709,-0.14723825,-0.23621283,-0.014409424,0.014522263,-0.029353559,-0.019160338,0.009088474,-0.036230408,-0.10539836,0.0,-0.41258675,-0.12131422,-0.005610739,-0.16393197,0.32892773,-0.6978316,-0.028290108,-0.06752028,0.0
2023-03-03 01:00:00,-0.064833865,-0.08100372,-0.11180864,0.029022984,-0.9187581,-0.026689416,0.05717784,-0.06962092,-0.010476299,-0.41718984,0.0,-0.027438452,-0.027937636,-0.031893693,-0.26660755,0.0,0.025544932,0.0,0.0,0.011475788,0.0,0.0,0.0,0.0,0.0,0.0,-0.044402014,-0.18405366,-0.13037588,0.0,-0.19378728,0.001808812,0.0,0.0,-0.051910166,-0.062924735,-0.017813247,-0.005083231,-0.002828658,0.010200094,0.0,-0.0617363,0.03242904,0.0,-0.031822287,-0.13994543,-0.26188904,-0.021461464,-0.006142315,-0.023180652,-0.020579595,0.019374048,-0.04384683,-0.09919134,0.0,-0.3963906,-0.100854,-0.0613552,-0.15011562,0.3457936,-0.6184647,-0.019515302,-0.058310177,0.0
2023-03-03 02:00:00,-0.02702846,-0.038548335,-0.12169448,0.026523063,-0.9063041,-0.026689416,-0.1744015,-0.06962092,-0.010476299,-0.4219364,0.0,-0.027438452,-0.027937636,-0.031893693,-0.245738,0.0,0.039693095,0.0,0.0,0.011475788,0.0,0.0,0.0,0.0,0.0,0.0,-0.001993786,-0.18405366,-0.13037588,0.0,-0.17987214,0.001808812,0.0,0.0,-0.057095278,-0.062924735,-0.017813247,-0.005083231,-0.002828658,0.010200094,0.0,-0.0617363,0.03242904,0.0,-0.027542846,-0.13994543,-0.26188904,-0.021461464,-0.006142315,-0.023180652,-0.020579595,0.019374048,-0.04384683,-0.09919134,0.0,-0.3507748,-0.100854,-0.0613552,-0.14624853,0.33536375,-0.6184647,-0.021520607,-0.058310177,0.0
2023-03-03 03:00:00,-0.02702846,0.016963506,-0.10068393,0.03359744,-0.8985786,-0.026689416,-0.07850638,-0.06962092,-0.010476299,-0.63019687,0.0,-0.015665552,-0.027937636,-0.031893693,-0.245738,0.0,0.039693095,0.0,0.0,0.011475788,0.0,0.0,0.0,0.0,0.0,0.0,-0.001993786,-0.21044023,-0.13037588,0.0,-0.1850054,0.001808812,0.0,0.0,-0.052065935,-0.042888083,-0.017813247,-0.005083231,-0.009030964,0.010200094,0.0,-0.0617363,0.03242904,0.0,-0.027542846,-0.13994543,-0.26188904,-0.021461464,-0.006142315,-0.0422378,-0.020579595,0.019374048,-0.04384683,-0.09919134,0.0,-0.34442487,-0.100854,-0.0613552,-0.15245083,0.36962256,-0.6184647,-0.0149436295,-0.058310177,0.0
2023-03-03 04:00:00,-0.064833865,0.016963506,-0.11250445,0.03359744,-0.92428994,-0.026689416,0.06921805,-0.06962092,-0.019685276,-0.53169686,0.0,-0.015665552,-0.027937636,-0.031893693,-0.26660755,0.0,-0.029864434,0.0,0.0,0.011475788,0.0,0.0,0.0,0.0,0.0,0.0,-0.0073643103,-0.21116085,-0.13037588,0.0,-0.18653356,0.001808812,0.0,0.0,-0.046880826,-0.042888083,-0.017813247,-0.021398157,-0.009657576,0.010200094,0.0,-0.0617363,-0.100013465,0.0,-0.031822287,-0.13994543,-0.26188904,-0.021461464,-0.006142315,-0.0422378,-0.020579595,0.019374048,-0.04384683,-0.09919134,0.0,-0.4275632,-0.11776439,-0.0613552,-0.15812741,0.3318885,-0.6159924,-0.0149436295,-0.058310177,0.0
2023-03-03 05:00:00,-0.064833865,0.016963506,-0.091905475,0.03359744,-0.89527905,-0.030881198,0.07215405,-0.062160738,0.010197122,-0.63384026,0.0,-0.013159074,-0.023594806,-0.031893693,-0.14806433,0.0,0.04150314,0.0,0.0,0.0115622,0.0,0.0,0.0,0.0,0.0,0.0,0.0035070896,0.4103106,-0.13037588,0.0,-0.23794399,0.0033284454,0.0,0.0,-0.061423406,-0.010405654,-0.017813247,-0.033355836,0.020212185,0.010200094,0.0,-0.0617363,-0.08699634,0.0,-0.04059709,-0.06544804,-0.24607916,-0.021461464,-0.006142315,-0.031763453,-0.020579595,0.019374048,-0.04384683,-0.062781334,0.0,-0.42845875,-0.08049048,-0.044281345,-0.17881209,0.36866176,-0.7114948,-0.037106343,-0.06752028,0.0
