,Price_gas,Imbalance netting import,Imbalance netting export,Energy_positive_secondary,Energy_negative_secondary,Energy_positive_tertiary,Energy_negative_tertiary,CH_dayahead_price,CH_intraday_price,renewable_energy,Cross_border_physical_flows_IT_CH,Cross_border_physical_flows_CH_IT,Cross_border_physical_flows_FR_CH,Cross_border_physical_flows_CH_FR,Cross_border_physical_flows_AT_CH,Cross_border_physical_flows_CH_AT,Cross_border_physical_flows_DE_CH,Cross_border_physical_flows_CH_DE,Forecast_transfer_capacities_dayahead_IT_CH,Forecast_transfer_capacities_dayahead_CH_IT,Forecast_transfer_capacities_dayahead_FR_CH,Forecast_transfer_capacities_dayahead_CH_FR,Forecast_transfer_capacities_dayahead_DE_CH,Forecast_transfer_capacities_dayahead_CH_DE,Forecast_transfer_capacities_dayahead_AT_CH,Forecast_transfer_capacities_dayahead_CH_AT,aFRR p,aFRR n,mFRR p,mFRR n,FRCE p,FRCE n,RR p,RR n,Total System Imbalance,Exchange_CH_AT,Exchange_AT_CH,Exchange_CH_DE,Exchange_DE_CH,Exchange_CH_FR,Exchange_FR_CH,Exchange_CH_IT,Exchange_IT_CH,day_type,hour,weekday,Price_positive_secondary_lag_1,Price_positive_secondary_lag_24,Price_positive_secondary_lag_168,Price_positive_secondary_mean_24,Price_positive_secondary_std_24,Price_positive_secondary_max_24,Price_positive_secondary_mean_168,Price_positive_secondary_std_168,Price_positive_secondary_max_168
2023-07-02 12:00:00,-0.08495782,0.11567424,-0.013324313,-0.9267913,-0.018074282,0.016431816,-0.016811343,0.14101046,0.0066646375,0.027554415,0.0,-0.048837133,-0.049193844,-0.001012863,-0.049992964,-0.008093386,-0.029235682,-0.016567338,0.0,-0.086251825,0.0,0.0,-0.0073945806,0.0,-0.046343926,0.0,-0.024867406,0.00023515336,0.12057544,0.0,-0.022039214,-0.023502354,-0.003689908,0.0042466717,-0.03228063,0.0,0.011105408,-0.10881756,-0.028237283,-0.020428684,-0.010481689,0.0,0.040589638,0.005547411,-0.0023215208,-0.0025350798,-0.29491732,-0.017927393,0.02535874,-0.012921106,-0.07476507,-0.75007284,-0.007641834,0.5335456,0.0028368433
2023-07-02 13:00:00,-0.12164663,-0.075947315,-0.011771075,-0.866556,-0.018074282,-0.014134743,-0.01981895,0.14101046,0.0066646375,0.041808933,0.0,0.14135668,-0.009736087,-0.001012863,0.020572966,-0.008093386,-0.023161365,-0.016567338,0.0,-0.08855456,0.0,0.0,-0.0073945806,0.0,-0.046343926,0.0,0.0038308296,-9.456184e-05,0.13032405,0.0,-0.022039214,-0.02227663,-0.003689908,0.0042466717,0.05380422,0.0,0.011105408,-0.10673331,-0.028237283,-0.017788783,-0.010481689,0.0,0.041280456,0.005547411,-0.000935046,-0.0059985463,-0.3095902,-0.021483257,0.045777224,-0.012921106,-0.08583564,-0.8472694,-0.007641834,0.41633227,0.0028368433
2023-07-02 14:00:00,-0.07913238,0.10056488,-0.011771075,-1.002,-0.018074282,0.018025529,-0.018024953,0.050465822,0.0066646375,0.046148382,0.0,0.10384244,-0.019171625,-0.001012863,0.032151602,-0.008093386,-0.029235682,-0.016567338,0.0,-0.099623665,0.0,0.0,-0.0073945806,0.0,-0.046343926,0.0,0.0053839497,0.0042579784,-0.10555834,0.0,-0.022039214,-0.024158766,-0.003689908,0.0042466717,0.011359664,0.0,0.007071714,-0.076014414,0.0037054555,-0.017788783,-0.0038903134,0.0,0.04710237,0.010543624,-0.017437259,-0.0059985463,-0.27346095,-0.052584272,0.009554061,-0.024860647,-0.058687363,-0.879332,-0.008149197,0.4597729,0.004382414
2023-07-02 15:00:00,-0.08495782,-0.096452445,-0.011771075,-0.87721264,-0.018074282,-0.014134743,-0.01981895,0.14418393,0.0046943487,0.046148382,0.0,0.14135668,-0.009736087,-0.001012863,0.0065732766,-0.008093386,-0.023161365,-0.016567338,0.0,-0.10040357,0.0,0.0,-0.0073945806,0.0,-0.046343926,0.0,-0.00886674,-0.018694602,0.35251996,0.0,-0.022039214,-0.02017807,-0.003689908,0.0042466717,-0.043925643,0.0,0.0076205484,-0.08149295,-0.006349539,-0.017788783,-0.010481689,0.0,0.041280456,0.005547411,-0.000935046,-0.0059985463,-0.30366123,-0.021483257,0.049936153,-0.013463799,-0.06675923,-0.85074055,-0.007641834,0.41862178,0.0021054554
2023-07-02 16:00:00,-0.08495782,-0.06669738,-0.013324313,-0.88506275,-0.018074282,-0.035274975,-0.01860534,0.14418393,0.0053172708,0.039842274,0.0,-0.008274718,-0.009736087,-0.001012863,-0.0032520907,-0.008093386,-0.023161365,-0.016567338,0.0,-0.07408351,0.0,0.0,-0.0073945806,0.0,-0.046343926,0.0,-0.00886674,0.017202934,0.38845256,0.0,0.009732461,0.0036506462,-0.003689908,0.0042466717,0.05380422,0.0,0.0076205484,-0.12274511,-0.02611951,-0.017788783,-0.010481689,0.0,0.041280456,0.005547411,-0.002008833,-0.0025350798,-0.28491682,-0.017927393,0.06257748,-0.013463799,-0.08888194,-0.85369885,-0.007641834,0.5261575,0.0021054554
2023-07-02 17:00:00,-0.07071543,-0.110291556,-0.013324313,-0.57062423,-0.018074282,0.017377395,-0.01618432,0.015402593,0.006399745,0.039010726,0.0,-0.080137104,0.011925757,-0.001012863,-0.02413219,-0.008093386,-0.023161365,-0.016567338,0.0,0.017459959,0.0,0.0,-0.0073945806,0.0,-0.046343926,0.0,-0.01422964,-0.045004472,-0.087453194,0.0,0.026735667,-0.012598407,-0.003689908,0.009227258,-0.012579666,0.0,0.015155776,-0.052446947,-0.039630126,-0.035644714,-0.005265087,0.0,0.006961641,0.010543624,-0.026267003,-0.0025350798,-0.38956532,-0.017927393,0.11936167,-0.024860647,-0.08711725,-1.0028934,-0.031372447,0.7748556,0.0029097903
2023-07-02 18:00:00,-0.07847421,-0.06303627,-0.013324313,-0.5988597,0.015191401,0.017377395,-0.01618432,0.015402593,0.006399745,0.026264979,0.0,-0.04140681,0.011925757,-0.001012863,-0.0216888,-0.008093386,-0.023161365,-0.016567338,0.0,0.017459959,0.0,0.0,-0.0073945806,0.0,-0.046343926,0.0,-0.01422964,0.08797158,-0.084817946,0.0,0.010457167,0.01553693,-0.003689908,0.009227258,-0.0013097748,0.0,0.015155776,-0.1949264,-0.041253176,0.023415737,0.0043352745,0.0,-0.0007971353,0.010543624,-0.026267003,-0.0025350798,-0.41218534,-0.018249042,0.13942793,-0.024860647,-0.08728271,-0.8149508,-0.048798926,0.70915127,0.0029097903
2023-07-02 19:00:00,-0.082494035,-0.10040576,-0.013324313,-0.4702278,-0.018074282,0.017377395,-0.021424003,-0.14732793,0.024636598,0.02583643,0.0,-0.04140681,0.011925757,-0.001012863,-0.030199613,-0.008093386,-0.023161365,-0.016567338,0.0,0.014609293,0.0,0.0,-0.0073945806,0.0,-0.046343926,0.0,-0.01422964,0.08797158,-0.084817946,0.0,0.026735667,0.0035282746,-0.003689908,0.009227258,-0.0013097748,0.0,0.018640634,-0.11399551,-0.030136093,0.00975913,0.0043352745,0.0,0.005804605,0.010543624,-0.026267003,-0.0025350798,-0.32296747,-0.041209824,-0.007611419,-0.024860647,-0.09563525,-0.9112694,-0.031813566,0.9630549,0.0029097903
2023-07-02 20:00:00,-0.082961574,-0.14855249,-0.013324313,-0.84302866,-0.018074282,0.017377395,-0.033356413,-0.0024597384,0.0235838,0.033041306,0.0,-0.080137104,0.011925757,-0.001012863,-0.033413067,-0.008093386,-0.01844767,-0.016567338,0.0,0.014020921,0.0,0.0,-0.0073945806,0.0,-0.046343926,0.0,-0.01422964,-0.038923133,-0.10207908,0.0,-0.022039214,-0.039290227,-0.003689908,0.002693745,-0.012579666,0.0,-0.06202291,-0.09048203,-0.004884756,-0.015523499,0.0055668005,0.0,0.026945628,0.010543624,-0.026267003,-0.0025350798,-0.3089962,-0.041209824,-0.012233189,-0.024860647,-0.0790826,-0.662622,-0.008590316,0.72124344,0.0029097903
2023-07-02 21:00:00,-0.082494035,-0.14540291,-0.013324313,-0.8557394,-0.018074282,0.017377395,-0.042535372,-0.015677752,0.00058812555,0.004584966,0.0,-0.079759456,-0.017583419,-0.001012863,-0.016491538,-0.008093386,-0.04265344,-0.016567338,0.0,0.013071714,0.0,0.0,-0.0073945806,0.0,-0.046343926,0.0,-0.03999749,-0.0617672,-0.16548745,0.0,-0.022039214,-0.059931852,-0.003689908,0.0042466717,-0.009730006,0.0,0.011491298,0.058041267,-0.005273815,0.011162443,0.01151069,0.0,0.03997488,0.010543624,-0.02657964,-0.0025350798,-0.35339373,-0.040761717,0.006704173,-0.024860647,-0.07776135,-0.5967515,-0.006584804,0.6802729,0.0053555937
