,Price_gas,Imbalance netting import,Imbalance netting export,Energy_positive_secondary,Energy_negative_secondary,Energy_positive_tertiary,Energy_negative_tertiary,CH_dayahead_price,CH_intraday_price,renewable_energy,Cross_border_physical_flows_IT_CH,Cross_border_physical_flows_CH_IT,Cross_border_physical_flows_FR_CH,Cross_border_physical_flows_CH_FR,Cross_border_physical_flows_AT_CH,Cross_border_physical_flows_CH_AT,Cross_border_physical_flows_DE_CH,Cross_border_physical_flows_CH_DE,Forecast_transfer_capacities_dayahead_IT_CH,Forecast_transfer_capacities_dayahead_CH_IT,Forecast_transfer_capacities_dayahead_FR_CH,Forecast_transfer_capacities_dayahead_CH_FR,Forecast_transfer_capacities_dayahead_DE_CH,Forecast_transfer_capacities_dayahead_CH_DE,Forecast_transfer_capacities_dayahead_AT_CH,Forecast_transfer_capacities_dayahead_CH_AT,aFRR p,aFRR n,mFRR p,mFRR n,FRCE p,FRCE n,RR p,RR n,Total System Imbalance,Exchange_CH_AT,Exchange_AT_CH,Exchange_CH_DE,Exchange_DE_CH,Exchange_CH_FR,Exchange_FR_CH,Exchange_CH_IT,Exchange_IT_CH,day_type,hour,weekday,Price_positive_secondary_lag_1,Price_positive_secondary_lag_24,Price_positive_secondary_lag_168,Price_positive_secondary_mean_24,Price_positive_secondary_std_24,Price_positive_secondary_max_24,Price_positive_secondary_mean_168,Price_positive_secondary_std_168,Price_positive_secondary_max_168,Price_negative_secondary_lag_1,Price_negative_secondary_lag_24,Price_negative_secondary_lag_168,Price_negative_secondary_mean_24,Price_negative_secondary_std_24,Price_negative_secondary_max_24,Price_negative_secondary_mean_168,Price_negative_secondary_std_168,Price_negative_secondary_max_168,Price_positive_tertiary_lag_1,Price_positive_tertiary_lag_24,Price_positive_tertiary_lag_168,Price_positive_tertiary_mean_24,Price_positive_tertiary_std_24,Price_positive_tertiary_max_24,Price_positive_tertiary_mean_168,Price_positive_tertiary_std_168,Price_positive_tertiary_max_168
2023-11-01 04:00:00,-0.008432247,0.0018845297,-0.01998146,-0.024439063,0.005321144,-1.7624002,0.0,-0.012140163,-0.014327902,0.008101791,0.0,-0.010420923,0.0,0.0,0.0,0.0,0.009058859,0.09324934,0.0,-0.0053062914,0.03865069,0.0,0.036061138,0.013525475,0.0,0.0,-0.001588495,-0.0019917435,0.017725011,0.0,0.0,0.0,0.0,0.0,-0.01765708,0.0,0.0015716292,0.052008584,-0.0012261518,-0.0057452973,-0.0065197553,-0.00036584874,0.024567774,-0.0031615268,0.0,-0.013945557,-0.015697258,-0.001586773,0.021688422,0.0012000452,-0.009253239,0.0022021926,0.0,0.034508474,-0.017773122,-0.020252606,0.0,0.0054430077,-0.0034633705,-0.012172384,-0.002667469,-0.0007278869,-0.011091433,0.0012503075,0.034458607,0.0018955976,0.008047182,-0.010060855,0.009313225,0.1074509,-0.04231812,-0.012768576,0.0
2023-11-01 05:00:00,-0.008432247,0.0018845297,-0.01998146,-0.024439063,0.005321144,-1.7611357,0.0,-0.012140163,-0.014327902,0.008101791,0.0,-0.010420923,0.0,0.0,0.0,0.0,0.009058859,0.09324934,0.0,-0.0053062914,0.03865069,0.0,0.036061138,0.013525475,0.0,0.0,-0.001588495,-0.0019917435,0.017725011,0.0,0.0,0.0,0.0,0.0,-0.01765708,0.0,0.0015716292,0.052008584,-0.0012261518,-0.0057452973,-0.0065197553,-0.00036584874,0.024567774,-0.0031615268,0.0,-0.013945557,-0.015697258,-0.001586773,0.021688422,0.0012000452,-0.009680867,0.0022021926,0.0,0.034508474,-0.017773122,-0.020252606,0.0,0.0054430077,-0.0034633705,-0.012377155,-0.002667469,-0.0007278869,-0.011091433,0.0012503075,0.034458607,0.0018955976,0.004886275,-0.00879642,0.01057766,0.1074509,-0.04231812,-0.012768576,0.0
2023-11-01 06:00:00,-0.008432247,0.0018845297,-0.019278973,-0.024439063,0.0026283152,-1.7672949,0.0,-0.012140163,-0.014327902,0.008101791,0.0,-0.010420923,0.0,0.0,0.0,0.0,0.009058859,0.09324934,0.0,-0.0053062914,0.03865069,0.0,0.036061138,0.013525475,0.0,0.0,-0.001588495,-0.0019917435,0.017725011,0.0,0.0,0.0,0.0,0.0,-0.01765708,0.0,0.0015716292,0.052008584,-0.0012261518,-0.0057452973,-0.0065197553,-0.00036584874,0.024567774,-0.0031615268,0.0,-0.013945557,-0.015697258,0.008143254,0.02239091,0.0012000452,-0.009680867,0.002904679,0.0,0.034508474,-0.017773122,-0.019052623,0.0,0.0054430077,-0.010325094,-0.012377155,-0.002667469,-0.0007278869,-0.011091433,0.0012503075,0.034458607,0.0018955976,0.0047691585,-0.00879642,0.011390537,0.10943146,-0.04231812,-0.012768576,0.0
2023-11-01 07:00:00,-0.01801005,-0.0007012844,-0.14256057,-0.023104468,0.0033418112,1.0113351,0.0,-0.02304487,-0.09977378,0.009794482,0.0,-0.004339924,0.0,0.0,0.0,0.0,0.010136042,0.56085414,0.0,-0.012142451,0.26713982,0.0,0.21007995,0.05073671,0.0,0.0,-0.0023132956,-0.011350927,-0.015705317,0.0,0.0,0.0,0.0,0.0,-0.03421525,0.0,0.0023716758,0.40123367,-0.0019369555,-0.04870606,-0.0040580034,-0.0011326916,0.081401095,-0.0060645635,0.0,-0.039319154,-0.035039596,0.01297732,-0.0024460154,0.0017718561,-0.0184594,0.0131426295,0.0,0.102197334,-0.04484405,-0.04349569,0.0,0.0092618,-0.04466346,-0.023872819,-0.004864862,-0.001159164,-0.018215412,0.0043443963,0.030434005,0.0018955973,0.023730535,-0.013902563,0.02370832,0.45724976,-0.12935619,-0.043281697,0.0
2023-11-01 08:00:00,-0.01801005,-0.0007012844,0.31270885,-0.029311234,0.011592728,1.0495574,0.0,-0.0143612465,-0.09977378,0.009794482,0.0,-0.004339924,0.0,0.0,0.0,0.0,0.010136042,0.56085414,0.0,-0.012142451,0.26713982,0.0,0.29033914,0.04783299,0.0,0.0,-0.0023132956,-0.011350927,-0.015705317,0.0,0.0,0.0,0.0,0.0,-0.0034991726,0.0,0.0023716758,0.40123367,-0.0019369555,-0.020715136,-0.0040580034,-0.0011326916,0.081401095,-0.0060645635,0.0,-0.039319154,-0.035039596,0.01297732,0.05336112,0.0017718561,-0.011745676,0.006747591,0.0,0.10236628,0.0045739673,-0.042954464,0.0,-0.027899854,-0.04466346,-0.024668034,-0.004864862,-0.001159164,-0.027253285,0.0010446436,-0.020439642,0.0018955973,0.024388626,-0.016782891,0.029387856,0.43986025,-0.13096225,-0.052339245,0.0
2023-11-01 09:00:00,-0.01801005,-0.0007012844,-0.05968696,-0.029311234,-0.0042990022,1.0154274,0.0,-0.02304487,-0.09977378,0.009794482,0.0,-0.004339924,0.0,0.0,0.0,0.0,0.010136042,0.56085414,0.0,-0.012142451,0.26713982,0.0,0.21007995,0.04783299,0.0,0.0,-0.0023132956,-0.011350927,-0.015705317,0.0,0.0,0.0,0.0,0.0,-0.04058416,0.0,0.0023716758,0.40123367,-0.0019369555,-0.04870606,-0.0040580034,-0.0011326916,0.081401095,-0.0060645635,0.0,-0.039319154,-0.035039596,-0.005053687,-0.0024460154,0.0017718561,-0.0184594,0.0131426295,0.0,0.10222096,-0.04484405,-0.04588977,0.0,0.0092618,-0.015529009,-0.018998522,-0.004864862,-0.001159164,-0.018215412,0.0043443963,-0.028170327,0.0018955973,0.023730535,-0.016964745,0.021691443,0.45253775,-0.12935619,-0.052339245,0.0
2023-11-01 10:00:00,-0.008432247,0.0018845297,-0.02707651,-0.031266183,-0.0022902922,-1.664333,0.0,-0.012140163,-0.014327902,0.008101791,0.0,-0.010420923,0.0,0.0,0.0,0.0,0.009058859,0.09324934,0.0,-0.0053062914,0.03865069,0.0,0.036061138,0.010178614,0.0,0.0,-0.001588495,-0.0019917435,0.017725011,0.0,0.0,0.0,0.0,0.0,-0.018200666,0.0,0.0015716292,0.052008584,-0.0012261518,-0.0057452973,-0.0065197553,-0.00036584874,0.024567774,-0.0031615268,0.0,-0.013945557,-0.016294241,-0.0021837559,0.02239091,0.0012000452,-0.006646016,0.002904679,0.0,0.034664936,-0.017773122,-0.020252606,0.0,-0.0001885097,-0.0034633705,-0.01088932,-0.002667469,-0.0007278869,-0.011091433,-0.00053797103,-0.026239611,0.0018955976,0.00856693,-0.013432642,0.011761232,0.1074509,-0.040753912,-0.022711743,0.0
2023-11-01 11:00:00,-0.010927619,-0.00089630083,0.09201101,-0.0035800044,-0.0027685084,-1.9081275,0.0,-0.012140163,-0.014327902,0.007067297,0.0,-0.010420923,0.0,0.0,0.0,0.0,0.010006171,0.09324934,0.0,-0.0071273427,0.03865069,0.0,0.045155145,0.0146055035,0.0,0.0,-0.001588495,0.003234958,0.017725011,0.0,0.0,0.0,0.0,0.0,-0.018200666,0.0,0.0015716292,0.05194748,-0.0012261518,-0.0057452973,0.0011788029,-0.00072653434,0.024567774,-0.0031615268,0.0,-0.013945557,-0.015697258,-0.001586773,0.019648993,0.0012000452,-0.006444112,0.0068738293,0.0,0.040979967,-0.0045493394,-0.020252606,0.0,0.0054430077,-0.0034633705,-0.009101072,-0.002667469,-0.0007278869,-0.011091433,0.0012503075,0.016790692,0.0018955976,0.011262098,0.0013055075,-0.001785052,0.10698672,-0.04231812,-0.020311508,0.0
2023-11-01 12:00:00,-0.010927619,0.0018845297,-0.009994681,-0.023966234,0.0026283152,-1.5544424,0.0,-0.012140163,-0.014327902,0.008101791,0.0,-0.010420923,0.0,0.0,0.0,0.0,0.009058859,0.05211625,0.0,-0.0071273427,0.01398607,0.0,-0.054747358,0.013525475,0.0,0.0,0.0042440803,-0.0047162473,0.017725011,0.0,0.0,0.0,0.0,0.0,-0.01765708,0.0,0.0015716292,0.052008584,-0.0012261518,-0.0054224925,-0.002817966,-0.000659585,0.024567774,-0.0031615268,0.0,-0.013945557,-0.015697258,-0.001586773,-0.00028292788,0.0012000452,-0.008222429,0.002904679,0.0,0.04732355,-0.019245366,-0.022452477,0.0,0.0054430077,-0.0056632413,-0.011669806,-0.002667469,-0.0007278869,-0.011091433,0.0012503075,0.034458607,0.0018955976,0.0026859564,0.0012102665,0.0058567207,0.05614897,-0.04231812,-0.012768576,0.0
2023-11-01 13:00:00,-0.008432247,-0.00089630083,0.06734701,-0.0113090165,-0.0027685084,-1.6606107,0.0,-0.00862204,-0.014327902,-0.0010421178,0.0,-0.010420923,0.0,0.0,0.0,0.0,0.010006171,0.05211625,0.0,-0.0053062914,0.01398607,0.0,-0.073324025,0.0146055035,0.0,0.0,-0.001588495,0.012782225,0.017725011,0.0,0.0,0.0,0.0,0.0,-0.008674193,0.0,0.0015716292,0.05194748,-0.0012261518,-0.0054224925,0.0305387,-0.0017903781,0.024567774,-0.0031615268,0.0,-0.013945557,-0.015697258,-0.001586773,0.03590706,0.0012000452,-0.0038368888,0.0068738293,0.0,0.025828583,-0.014122977,-0.01561499,0.0,-0.016332269,-0.0052236365,-0.009502948,-0.002667469,-0.0007278869,-0.0116335545,-0.00053797103,0.016790692,0.0018955976,0.011262098,0.0013055075,-0.00044524204,0.0509165,-0.042999897,-0.01567389,0.0
