"",Price_positive_secondary_2023,Price_negative_secondary_2023,Price_positive_tertiary_2023,Price_negative_tertiary_2023,Price_gas_2023,Imbalance netting import_2023,Imbalance netting export_2023,Energy_positive_secondary_2023_24,Energy_negative_secondary_2023_24,Energy_positive_tertiary_2023_24,Energy_negative_tertiary_2023_24,CH_dayahead_price_2023,CH_intraday_price_2023,renewable_energy_2023,Cross_border_physical_flows_2023_IT_CH,Cross_border_physical_flows_2023_CH_IT,Cross_border_physical_flows_2023_FR_CH,Cross_border_physical_flows_2023_CH_FR,Cross_border_physical_flows_2023_AT_CH,Cross_border_physical_flows_2023_CH_AT,Cross_border_physical_flows_2023_DE_CH_24,Cross_border_physical_flows_2023_CH_DE_24,Forecast_transfer_capacities_dayahead_2023_IT_CH,Forecast_transfer_capacities_dayahead_2023_CH_IT,Forecast_transfer_capacities_dayahead_2023_FR_CH,Forecast_transfer_capacities_dayahead_2023_CH_FR,Forecast_transfer_capacities_dayahead_2023_DE_CH,Forecast_transfer_capacities_dayahead_2023_CH_DE,Forecast_transfer_capacities_dayahead_2023_AT_CH,Forecast_transfer_capacities_dayahead_2023_CH_AT,aFRR p 2023,aFRR n 2023,mFRR p 2023,mFRR n 2023,FRCE p 2023,FRCE n 2023,RR p 2023,RR n 2023,Total System Imbalance 2023,Exchange_CH_AT_2023,Exchange_AT_CH_2023,Exchange_CH_DE_2023,Exchange_DE_CH_2023,Exchange_CH_FR_2023,Exchange_FR_CH_2023,Exchange_CH_IT_2023,Exchange_IT_CH_2023
2023-01-01 00:00:00,0.0,-61.63,0.0,0.0,67.5,0.0,-21.09399889,0.0,-18.685,0.0,0.0,0.03,62.0,275.0,0,1777,396,0,591.0,0.0,2180,0,1910,1411,3700,1200,800,4000,1000,900,0.0,-11.41312,0,0,6.112747778,0.0,0.0,0.0,26.39437111,59.5,162.996,13.7,528.048,0.0,372.085,341.73,4.271
2023-01-01 01:00:00,0.0,0.0,0.0,0.0,67.5,11.70848333,0.0,0.0,0.0,0.0,0.0,-7.25,106.01,273.0,0,1997,0,190,863.0,0.0,2423,0,1910,1411,3700,1200,800,4000,1000,900,59.74995111,0.0,0,0,2.609588889,0.0,0.0,0.0,-74.06802333,32.2,203.94,13.4,529.105,108.382,169.753,451.595,0.015
2023-01-01 02:00:00,-4.27,-9.16,0.0,-13.21,67.5,37.02579444,0.0,0.333,-0.283,0.0,-17.5,-3.99,60.0,275.0,0,1839,0,78,801.0,0.0,2283,0,1910,1411,3700,1200,800,4000,1000,900,61.71096778,0.0,0,0,2.491835556,0.0,0.0,0.0,-101.2285978,21.4,238.431,19.0,618.326,164.453,123.904,497.753,0.7030000000000001
2023-01-01 03:00:00,0.0,-27.83,0.0,0.0,67.5,28.24706889,0.0,0.0,-14.636,0.0,0.0,-7.71,106.01,275.0,0,1664,606,0,757.0,0.0,2130,0,1910,1271,3700,1200,800,4000,1000,900,0.0,-7.623898889,0,0,5.973302222,0.0,0.0,0.0,-26.59647222,33.9,220.239,13.1,556.316,144.963,151.833,447.108,1.611
2023-01-01 04:00:00,-4.6,-37.44,0.0,-32.0,67.5,0.0,-6.911925556,0.031,-16.491,0.0,-46.5,-9.71,106.01,266.0,0,2218,740,0,1061.0,0.0,2415,0,1910,1177,3700,1200,800,4000,1000,900,2.867074444,0.0,0,0,0.0,-0.833608889,0.0,0.0,4.87846,17.6,244.054,8.1,579.8820000000001,52.738,210.655,492.631,9.837
2023-01-01 05:00:00,0.0,-31.03,0.0,-56.03,67.5,0.0,-34.98429,0.0,-12.931,0.0,-27.5,-15.15,106.01,255.0,0,2277,567,0,1007.0,0.0,2394,0,1910,1177,3700,1200,800,4000,1000,900,0.0,-54.47085667,0,0,0.0,-4.228031111,0.0,0.0,93.68317778,14.0,268.101,8.6,613.795,36.514,224.947,556.301,4.8580000000000005
2023-01-01 06:00:00,0.0,-31.25,0.0,0.0,67.5,0.0,-57.59336444,0.0,-8.646,0.0,-5.0,-14.33,-13.01,261.0,0,2563,359,0,1098.0,0.0,2383,0,1910,1411,3700,1200,800,4000,1000,900,0.0,-47.96509778,0,-30,3.542468889,0.0,0.0,0.0,132.0159933,18.1,258.076,19.4,603.917,84.465,207.08,549.077,0.496
2023-01-01 07:00:00,0.0,-41.63,0.0,-5.0,67.5,0.0,-8.803013333,0.0,-17.534,0.0,-7.5,-0.66,125.01,263.0,0,2554,577,0,1123.0,0.0,2782,0,1910,1549,3700,1200,800,4000,1000,900,0.0,-164.29651,0,-20,0.0,-1.506656667,0.0,0.0,194.60618,18.2,287.13,7.6,668.83,112.69,188.687,657.607,0.002
2023-01-01 08:00:00,0.0,-45.96,0.0,-44.664,67.5,0.0,-36.55407556,0.0,-23.35,0.0,-63.25,0.02,125.0,266.0,0,2069,366,0,1015.0,0.0,2430,0,1910,1549,3700,1200,800,4000,1000,900,0.0,-189.1456078,0,-25,0.0,-3.683806667,0.0,0.0,254.38349,4.7,298.992,4.5,727.902,81.72,193.029,648.548,0.834
2023-01-01 09:00:00,0.0,-87.73,0.0,-0.988,67.5,0.0,-61.19329556,0.0,-41.391,0.0,-6.25,-1.23,-1.02,320.0,0,2347,361,0,1136.0,0.0,2706,0,1910,1549,3700,1200,800,4000,1000,900,0.0,-127.8800144,0,-80,2.784508889,0.0,0.0,0.0,266.2888011,6.2,296.866,14.8,646.482,79.27,184.121,573.791,0.904
