,mean_abs_shap
Price_gas,0.0066962084
Imbalance netting import,0.0044855187
Imbalance netting export,0.0
Energy_positive_secondary,0.08308238
Energy_negative_secondary,1.4657083
Energy_positive_tertiary,0.0
Energy_negative_tertiary,0.021698916
CH_dayahead_price,0.04755365
CH_intraday_price,0.057095647
renewable_energy,0.05366112
Cross_border_physical_flows_IT_CH,0.0
Cross_border_physical_flows_CH_IT,0.0
Cross_border_physical_flows_FR_CH,0.031592283
Cross_border_physical_flows_CH_FR,0.0
Cross_border_physical_flows_AT_CH,0.0059421146
Cross_border_physical_flows_CH_AT,0.0
Cross_border_physical_flows_DE_CH,0.0
Cross_border_physical_flows_CH_DE,0.0
Forecast_transfer_capacities_dayahead_IT_CH,0.0
Forecast_transfer_capacities_dayahead_CH_IT,0.10439827
Forecast_transfer_capacities_dayahead_FR_CH,0.0
Forecast_transfer_capacities_dayahead_CH_FR,0.0
Forecast_transfer_capacities_dayahead_DE_CH,0.0
Forecast_transfer_capacities_dayahead_CH_DE,0.0
Forecast_transfer_capacities_dayahead_AT_CH,0.0
Forecast_transfer_capacities_dayahead_CH_AT,0.0
aFRR p,0.0
aFRR n,0.0
mFRR p,0.0
mFRR n,0.0
FRCE p,0.074943766
FRCE n,0.0
RR p,0.0
RR n,0.0
Total System Imbalance,0.0
Exchange_CH_AT,0.0
Exchange_AT_CH,0.0066420636
Exchange_CH_DE,0.042352896
Exchange_DE_CH,0.0
Exchange_CH_FR,0.0
Exchange_FR_CH,0.028226247
Exchange_CH_IT,0.0
Exchange_IT_CH,0.0
day_type,0.0
Price_positive_secondary_lag1,0.016507229
Price_negative_secondary_lag1,0.05041157
Price_positive_tertiary_lag1,0.0
Price_negative_tertiary_lag1,0.058817603
Price_gas_lag1,0.13245033
Imbalance netting import_lag1,0.0
Imbalance netting export_lag1,0.078208916
Energy_positive_secondary_lag1,0.0
Energy_negative_secondary_lag1,0.018701999
Energy_positive_tertiary_lag1,0.0
Energy_negative_tertiary_lag1,0.0
CH_dayahead_price_lag1,0.05537652
CH_intraday_price_lag1,0.015679982
renewable_energy_lag1,0.0
Cross_border_physical_flows_IT_CH_lag1,0.0
Cross_border_physical_flows_CH_IT_lag1,0.0
Cross_border_physical_flows_FR_CH_lag1,0.0
Cross_border_physical_flows_CH_FR_lag1,0.0
Cross_border_physical_flows_AT_CH_lag1,0.0
Cross_border_physical_flows_CH_AT_lag1,0.0
Cross_border_physical_flows_DE_CH_lag1,0.03821085
Cross_border_physical_flows_CH_DE_lag1,0.0
Forecast_transfer_capacities_dayahead_IT_CH_lag1,0.0
Forecast_transfer_capacities_dayahead_CH_IT_lag1,0.013700523
Forecast_transfer_capacities_dayahead_FR_CH_lag1,0.0
Forecast_transfer_capacities_dayahead_CH_FR_lag1,0.0
Forecast_transfer_capacities_dayahead_DE_CH_lag1,0.0
Forecast_transfer_capacities_dayahead_CH_DE_lag1,0.0
Forecast_transfer_capacities_dayahead_AT_CH_lag1,0.0
Forecast_transfer_capacities_dayahead_CH_AT_lag1,0.015638862
aFRR p_lag1,0.0151615525
aFRR n_lag1,0.0
mFRR p_lag1,0.0
mFRR n_lag1,0.0
FRCE p_lag1,0.021225307
FRCE n_lag1,0.0
RR p_lag1,0.0
RR n_lag1,0.0
Total System Imbalance_lag1,0.0
Exchange_CH_AT_lag1,0.0
Exchange_AT_CH_lag1,0.0
Exchange_CH_DE_lag1,0.07893258
Exchange_DE_CH_lag1,0.029245907
Exchange_CH_FR_lag1,0.02965236
Exchange_FR_CH_lag1,0.032617204
Exchange_CH_IT_lag1,0.0
Exchange_IT_CH_lag1,0.0
day_type_lag1,0.0
