,mean_abs_shap
Price_gas,0.057173535
Imbalance netting import,0.031421192
Imbalance netting export,0.017054453
Energy_positive_secondary,0.0
Energy_negative_secondary,0.012574379
Energy_positive_tertiary,0.15426728
Energy_negative_tertiary,1.5136911
CH_dayahead_price,0.047232598
CH_intraday_price,0.11787152
renewable_energy,0.07376743
Cross_border_physical_flows_IT_CH,0.0
Cross_border_physical_flows_CH_IT,0.0033213848
Cross_border_physical_flows_FR_CH,0.0
Cross_border_physical_flows_CH_FR,0.0
Cross_border_physical_flows_AT_CH,0.042055488
Cross_border_physical_flows_CH_AT,0.0
Cross_border_physical_flows_DE_CH,0.0
Cross_border_physical_flows_CH_DE,0.0
Forecast_transfer_capacities_dayahead_IT_CH,0.0
Forecast_transfer_capacities_dayahead_CH_IT,0.030806825
Forecast_transfer_capacities_dayahead_FR_CH,0.0
Forecast_transfer_capacities_dayahead_CH_FR,0.0
Forecast_transfer_capacities_dayahead_DE_CH,0.0
Forecast_transfer_capacities_dayahead_CH_DE,0.0
Forecast_transfer_capacities_dayahead_AT_CH,0.0032742466
Forecast_transfer_capacities_dayahead_CH_AT,0.0
aFRR p,0.010931795
aFRR n,0.020374974
mFRR p,0.0
mFRR n,0.0
FRCE p,0.018574502
FRCE n,0.0
RR p,0.0
RR n,0.0
Total System Imbalance,0.008335131
Exchange_CH_AT,0.0
Exchange_AT_CH,0.01683523
Exchange_CH_DE,0.09293843
Exchange_DE_CH,0.047019966
Exchange_CH_FR,0.019997086
Exchange_FR_CH,0.07393398
Exchange_CH_IT,0.025173042
Exchange_IT_CH,0.05522561
day_type,0.0
Price_positive_secondary_lag1,0.0
Price_negative_secondary_lag1,0.03621891
Price_positive_tertiary_lag1,0.0
Price_negative_tertiary_lag1,0.0
Price_gas_lag1,0.0
Imbalance netting import_lag1,0.0
Imbalance netting export_lag1,0.008965556
Energy_positive_secondary_lag1,0.0
Energy_negative_secondary_lag1,0.0
Energy_positive_tertiary_lag1,0.0
Energy_negative_tertiary_lag1,0.06304578
CH_dayahead_price_lag1,0.31673533
CH_intraday_price_lag1,0.20221733
renewable_energy_lag1,0.057556946
Cross_border_physical_flows_IT_CH_lag1,0.0
Cross_border_physical_flows_CH_IT_lag1,0.0030896806
Cross_border_physical_flows_FR_CH_lag1,0.041733485
Cross_border_physical_flows_CH_FR_lag1,0.0
Cross_border_physical_flows_AT_CH_lag1,0.0065726396
Cross_border_physical_flows_CH_AT_lag1,0.0
Cross_border_physical_flows_DE_CH_lag1,0.0095995655
Cross_border_physical_flows_CH_DE_lag1,0.0
Forecast_transfer_capacities_dayahead_IT_CH_lag1,0.0
Forecast_transfer_capacities_dayahead_CH_IT_lag1,0.05211119
Forecast_transfer_capacities_dayahead_FR_CH_lag1,0.0
Forecast_transfer_capacities_dayahead_CH_FR_lag1,0.0
Forecast_transfer_capacities_dayahead_DE_CH_lag1,0.0
Forecast_transfer_capacities_dayahead_CH_DE_lag1,0.0
Forecast_transfer_capacities_dayahead_AT_CH_lag1,0.0
Forecast_transfer_capacities_dayahead_CH_AT_lag1,0.0
aFRR p_lag1,0.0
aFRR n_lag1,0.0
mFRR p_lag1,0.0
mFRR n_lag1,0.04828156
FRCE p_lag1,0.0033451968
FRCE n_lag1,0.0
RR p_lag1,0.0
RR n_lag1,0.0
Total System Imbalance_lag1,0.024289787
Exchange_CH_AT_lag1,0.0199471
Exchange_AT_CH_lag1,0.0
Exchange_CH_DE_lag1,0.008706707
Exchange_DE_CH_lag1,0.0
Exchange_CH_FR_lag1,0.0
Exchange_FR_CH_lag1,0.02580916
Exchange_CH_IT_lag1,0.0052642394
Exchange_IT_CH_lag1,0.018268868
day_type_lag1,0.0
