,0
Forecast_transfer_capacities_dayahead_CH_IT_lag1,30.9842586517334
Price_negative_tertiary_lag1,8.153368949890137
Forecast_transfer_capacities_dayahead_CH_IT,5.646974086761475
Cross_border_physical_flows_CH_IT,5.160222053527832
Energy_negative_secondary_lag1,3.9664790630340576
CH_intraday_price_lag1,3.7089076042175293
mFRR n,3.20790696144104
Energy_negative_tertiary,2.521101236343384
renewable_energy,2.4521772861480713
Cross_border_physical_flows_FR_CH,2.397503137588501
Cross_border_physical_flows_CH_IT_lag1,2.172769069671631
Imbalance netting export,2.086590528488159
Energy_negative_secondary,2.042294502258301
Price_positive_tertiary_lag1,1.983884572982788
aFRR p_lag1,1.91533362865448
renewable_energy_lag1,1.913183569908142
Price_gas,1.878286600112915
Exchange_FR_CH_lag1,1.8074737787246704
day_type_lag1,1.575096607208252
Exchange_DE_CH,1.5598927736282349
CH_dayahead_price_lag1,1.406647801399231
Price_positive_secondary_lag1,1.35923433303833
Price_gas_lag1,1.324659824371338
Forecast_transfer_capacities_dayahead_CH_AT_lag1,1.222599983215332
Exchange_CH_DE,1.0698250532150269
Exchange_IT_CH,0.9804251194000244
RR n,0.9331537485122681
Cross_border_physical_flows_AT_CH_lag1,0.9045889973640442
Price_negative_secondary_lag1,0.7276033759117126
Exchange_AT_CH_lag1,0.712286651134491
Exchange_IT_CH_lag1,0.6978790163993835
Cross_border_physical_flows_CH_DE,0.6915804743766785
Exchange_CH_FR_lag1,0.6481785178184509
CH_dayahead_price,0.6376849412918091
Exchange_CH_FR,0.6061668395996094
FRCE p_lag1,0.6024647951126099
Cross_border_physical_flows_AT_CH,0.5485239028930664
Total System Imbalance,0.5067293047904968
Exchange_CH_IT,0.5035252571105957
CH_intraday_price,0.47762489318847656
Forecast_transfer_capacities_dayahead_DE_CH_lag1,0.4686618447303772
Exchange_CH_IT_lag1,0.4561725854873657
Imbalance netting export_lag1,0.44850754737854004
Exchange_CH_AT_lag1,0.4336346387863159
Exchange_DE_CH_lag1,0.3975543975830078
Cross_border_physical_flows_CH_DE_lag1,0.3768368363380432
Exchange_CH_DE_lag1,0.35400083661079407
Energy_positive_secondary,0.34604552388191223
Energy_negative_tertiary_lag1,0.3357245922088623
Total System Imbalance_lag1,0.28191375732421875
Exchange_CH_AT,0.28043413162231445
FRCE p,0.2573050260543823
Energy_positive_secondary_lag1,0.23734375834465027
day_type,0.19685280323028564
FRCE n,0.19004856050014496
Cross_border_physical_flows_FR_CH_lag1,0.16593481600284576
aFRR n,0.12030214071273804
