,mean_abs_shap
Price_gas,0.024353644
Imbalance netting import,0.0049936296
Imbalance netting export,0.0
Energy_positive_secondary,1.5974635
Energy_negative_secondary,0.0
Energy_positive_tertiary,0.0
Energy_negative_tertiary,0.0
CH_dayahead_price,0.13259655
CH_intraday_price,0.028229585
renewable_energy,0.0074272268
Cross_border_physical_flows_IT_CH,0.0
Cross_border_physical_flows_CH_IT,0.018871622
Cross_border_physical_flows_FR_CH,0.0032438724
Cross_border_physical_flows_CH_FR,0.0
Cross_border_physical_flows_AT_CH,0.0
Cross_border_physical_flows_CH_AT,0.0
Cross_border_physical_flows_DE_CH,0.025305776
Cross_border_physical_flows_CH_DE,0.037069272
Forecast_transfer_capacities_dayahead_IT_CH,0.0
Forecast_transfer_capacities_dayahead_CH_IT,0.020868365
Forecast_transfer_capacities_dayahead_FR_CH,0.003807559
Forecast_transfer_capacities_dayahead_CH_FR,0.0
Forecast_transfer_capacities_dayahead_DE_CH,0.021259835
Forecast_transfer_capacities_dayahead_CH_DE,0.0
Forecast_transfer_capacities_dayahead_AT_CH,0.0
Forecast_transfer_capacities_dayahead_CH_AT,0.0
aFRR p,0.014151993
aFRR n,0.0
mFRR p,0.0
mFRR n,0.004907716
FRCE p,0.006800657
FRCE n,0.021137007
RR p,0.0
RR n,0.0
Total System Imbalance,0.0103842635
Exchange_CH_AT,0.0
Exchange_AT_CH,0.0
Exchange_CH_DE,0.008504441
Exchange_DE_CH,0.0
Exchange_CH_FR,0.023490896
Exchange_FR_CH,0.0
Exchange_CH_IT,0.028663632
Exchange_IT_CH,0.0
day_type,0.0
Price_positive_secondary_lag1,0.042835366
Price_negative_secondary_lag1,0.0072997184
Price_positive_tertiary_lag1,0.0
Price_negative_tertiary_lag1,0.0054910993
Price_gas_lag1,0.0
Imbalance netting import_lag1,0.0
Imbalance netting export_lag1,0.0035898734
Energy_positive_secondary_lag1,0.0
Energy_negative_secondary_lag1,0.0
Energy_positive_tertiary_lag1,0.0
Energy_negative_tertiary_lag1,0.0
CH_dayahead_price_lag1,0.015143088
CH_intraday_price_lag1,0.0
renewable_energy_lag1,0.051693212
Cross_border_physical_flows_IT_CH_lag1,0.0
Cross_border_physical_flows_CH_IT_lag1,0.0
Cross_border_physical_flows_FR_CH_lag1,0.0
Cross_border_physical_flows_CH_FR_lag1,0.0
Cross_border_physical_flows_AT_CH_lag1,0.02117593
Cross_border_physical_flows_CH_AT_lag1,0.0
Cross_border_physical_flows_DE_CH_lag1,0.010109943
Cross_border_physical_flows_CH_DE_lag1,0.0
Forecast_transfer_capacities_dayahead_IT_CH_lag1,0.0
Forecast_transfer_capacities_dayahead_CH_IT_lag1,0.030414913
Forecast_transfer_capacities_dayahead_FR_CH_lag1,0.0
Forecast_transfer_capacities_dayahead_CH_FR_lag1,0.0
Forecast_transfer_capacities_dayahead_DE_CH_lag1,0.0
Forecast_transfer_capacities_dayahead_CH_DE_lag1,0.0
Forecast_transfer_capacities_dayahead_AT_CH_lag1,0.0
Forecast_transfer_capacities_dayahead_CH_AT_lag1,0.0
aFRR p_lag1,0.0
aFRR n_lag1,0.024555866
mFRR p_lag1,0.0
mFRR n_lag1,0.0
FRCE p_lag1,0.0
FRCE n_lag1,0.034004938
RR p_lag1,0.0
RR n_lag1,0.0
Total System Imbalance_lag1,0.016253458
Exchange_CH_AT_lag1,0.0
Exchange_AT_CH_lag1,0.016305558
Exchange_CH_DE_lag1,0.020214984
Exchange_DE_CH_lag1,0.012118863
Exchange_CH_FR_lag1,0.0
Exchange_FR_CH_lag1,0.055799656
Exchange_CH_IT_lag1,0.022748971
Exchange_IT_CH_lag1,0.0
day_type_lag1,0.0
