,mean_abs_shap
Price_gas,0.014759853
Imbalance netting import,0.0
Imbalance netting export,0.0
Energy_positive_secondary,0.0
Energy_negative_secondary,0.02304834
Energy_positive_tertiary,0.92687136
Energy_negative_tertiary,0.049786273
CH_dayahead_price,0.05888733
CH_intraday_price,0.008258948
renewable_energy,0.026116934
Cross_border_physical_flows_IT_CH,0.0
Cross_border_physical_flows_CH_IT,0.0
Cross_border_physical_flows_FR_CH,0.034806326
Cross_border_physical_flows_CH_FR,0.0068745804
Cross_border_physical_flows_AT_CH,0.0
Cross_border_physical_flows_CH_AT,0.0
Cross_border_physical_flows_DE_CH,0.0
Cross_border_physical_flows_CH_DE,0.0028257903
Forecast_transfer_capacities_dayahead_IT_CH,0.0
Forecast_transfer_capacities_dayahead_CH_IT,0.024336636
Forecast_transfer_capacities_dayahead_FR_CH,0.0
Forecast_transfer_capacities_dayahead_CH_FR,0.0
Forecast_transfer_capacities_dayahead_DE_CH,0.0
Forecast_transfer_capacities_dayahead_CH_DE,0.0
Forecast_transfer_capacities_dayahead_AT_CH,0.0
Forecast_transfer_capacities_dayahead_CH_AT,0.0
aFRR p,0.028339326
aFRR n,0.0
mFRR p,0.11409376
mFRR n,0.009708738
FRCE p,0.0
FRCE n,0.0
RR p,0.0
RR n,0.0
Total System Imbalance,0.0592604
Exchange_CH_AT,0.0
Exchange_AT_CH,0.032073915
Exchange_CH_DE,0.0
Exchange_DE_CH,0.0102888495
Exchange_CH_FR,0.00801942
Exchange_FR_CH,0.0
Exchange_CH_IT,0.028279327
Exchange_IT_CH,0.01342607
day_type,0.0
Price_positive_secondary_lag1,0.0
Price_negative_secondary_lag1,0.026818465
Price_positive_tertiary_lag1,0.13021669
Price_negative_tertiary_lag1,0.0
Price_gas_lag1,0.0
Imbalance netting import_lag1,0.026540697
Imbalance netting export_lag1,0.0
Energy_positive_secondary_lag1,0.010684364
Energy_negative_secondary_lag1,0.0
Energy_positive_tertiary_lag1,0.04998311
Energy_negative_tertiary_lag1,0.0
CH_dayahead_price_lag1,0.12179299
CH_intraday_price_lag1,0.10325109
renewable_energy_lag1,0.0
Cross_border_physical_flows_IT_CH_lag1,0.0
Cross_border_physical_flows_CH_IT_lag1,0.0
Cross_border_physical_flows_FR_CH_lag1,0.0
Cross_border_physical_flows_CH_FR_lag1,0.0
Cross_border_physical_flows_AT_CH_lag1,0.0
Cross_border_physical_flows_CH_AT_lag1,0.0
Cross_border_physical_flows_DE_CH_lag1,0.0
Cross_border_physical_flows_CH_DE_lag1,0.037619095
Forecast_transfer_capacities_dayahead_IT_CH_lag1,0.0
Forecast_transfer_capacities_dayahead_CH_IT_lag1,0.0
Forecast_transfer_capacities_dayahead_FR_CH_lag1,0.0
Forecast_transfer_capacities_dayahead_CH_FR_lag1,0.0
Forecast_transfer_capacities_dayahead_DE_CH_lag1,0.0
Forecast_transfer_capacities_dayahead_CH_DE_lag1,0.0
Forecast_transfer_capacities_dayahead_AT_CH_lag1,0.0
Forecast_transfer_capacities_dayahead_CH_AT_lag1,0.0
aFRR p_lag1,0.016263977
aFRR n_lag1,0.0
mFRR p_lag1,0.0
mFRR n_lag1,0.0
FRCE p_lag1,0.0
FRCE n_lag1,0.013430012
RR p_lag1,0.0
RR n_lag1,0.0
Total System Imbalance_lag1,0.026777025
Exchange_CH_AT_lag1,0.0
Exchange_AT_CH_lag1,0.037703354
Exchange_CH_DE_lag1,0.0
Exchange_DE_CH_lag1,0.15762624
Exchange_CH_FR_lag1,0.0
Exchange_FR_CH_lag1,0.012535173
Exchange_CH_IT_lag1,0.0
Exchange_IT_CH_lag1,0.0
day_type_lag1,0.0
